series,slug,tonggwon,publish_date,section,title,author,page_start,page_range,pages_held,partial,coverage_note,bib_checked,bib_checker,bib_status,bib_note,transcript,markers,big_diff,units,divider,engines,empty_engines,cross_checked,keyword_hits
1,01_kwonyu_1911-01,6,1911-01-15,講演,勸誘天下失樂者,李敦化,25,,3,N,,,,,,정본,83,4,5,고정값,claude_opus_4_7:5 gemini:5 reread_x4:5 seam:3,,0,0
2,02_信念_1911-04,9,1911-04-15,講演,信念의 神聖,李敦化,26,,3,N,,,,,,draft,72,4,4,고정값,claude_opus_4_7:4 gemini:4 seam:2,,0,3
3,03_宗敎_1911-06,11,1911-06-15,講演,宗敎統一은 自然의 勢,李敦化,27,,3,N,,,,,,draft,136,12,6,고정값,claude_opus_4_7:6 gemini:6 seam:3,,0,13
4,04_人乃_1911-07,12,1911-07-15,敎理部,人乃天,李敦化,10,,3,N,,,,,,draft,104,14,6,고정값,claude_opus_4_7:6 gemini:6 seam:3,gemini,0,0
5,05_觀感_1911-08,13,1911-08-15,敎理部,觀感說,李敦化,30,,4,N,,,,,,draft,196,25,8,고정값,claude_opus_4_7:8 gemini:8 seam:4,,0,0
6,06_還人_1911-09,14,1911-09-15,敎理部,還人欲이라야 眞樂生이오 眞樂이라야 世界得幸福이라,李敦化,14,,4,N,,,,,,draft,121,10,8,고정값,claude_opus_4_7:8 gemini:8 seam:4,gemini,0,4
7,07_大雄_1911-10,15,1911-10-15,講演,大雄無畏觀,李敦化,23,,5,N,,,,,,draft,173,4,10,고정값,claude_opus_4_7:10 gemini:10 seam:5,,0,1
8,08_因果_1911-11,16,1911-11-15,講演,因果의 神案,李敦化,24,,4,N,,,,,,draft,148,3,8,고정값,claude_opus_4_7:8 gemini:8 seam:4,,0,3
9,09_運命_1911-12,17,1911-12-15,講演,運命說,李敦化,29,,3,N,,,,,,draft,96,4,6,고정값,claude_opus_4_7:6 gemini:6 seam:3,gemini,0,4
10,,18,1912-01-15,講演,新年에 對ᄒᆞᆫ 新感想으로 新發明을 公告言,,19,,4,N,,,,,,,,,,,,,0,0
11,11_死後_1912-02,19,1912-02-15,講演,死後問題,李敦化,21,,6,N,,,,,,draft,174,2,12,고정값,claude_opus_4_7:12 gemini:12 seam:6,gemini,0,12
12,12_我觀_1912-03,20,1912-03-15,講演,我觀人生,李敦化,32,,6,N,,,,,,draft,173,2,12,고정값,claude_opus_4_7:12 gemini:12 seam:6,,1,16
13,13_宇宙_1912-04,21,1912-04-15,敎理部,宇宙說,李敦化,9,,4,N,,,,,,draft,145,3,8,고정값,claude_opus_4_7:8 gemini:8 seam:4,,0,5
14,14_自修_1912-05,22,1912-05-15,講演,自修喻人의 解,李敦化,25,,3,N,,,,,,draft,96,2,6,고정값,claude_opus_4_7:6 gemini:6 seam:3,gemini,0,1
15,15_東經_1912-06,23,1912-06-15,敎理部,東經大全要旨講解,李敦化,9,,4,N,,,,,,draft,121,4,8,고정값,claude_opus_4_7:8 gemini:8 seam:4,gemini,0,6
16,16_東經_1912-07,24,1912-07-15,敎理部,東經大全要旨講解(續),李敦化,7,,4,N,,,,,,draft,129,5,8,고정값,claude_opus_4_7:8 gemini:8 seam:4,,0,2
17,17_東經_1912-09,26,1912-09-15,敎理部,東經要旨講解(續),李敦化,14,,4,N,,,,,,draft,109,4,8,고정값,claude_opus_4_7:8 gemini:8 seam:4,gemini,0,1
18,18_靈通_1912-12,29,1912-12-15,敎理部,靈通力의 事實됨을 解明言(續),李敦化,12,,5,N,,,,,,draft,166,3,10,고정값,claude_opus_4_7:10 gemini:9 seam:5,,0,21
19,19_理想_1913-01,30,1913-01-15,雜俎,理想中新光陰,李敦化,37,,3,N,,,,,,draft,112,3,6,고정값,claude_opus_4_7:6 gemini:6 seam:3,,2,7
20,20_光說_1913-02,31,1913-02-15,雜俎,光의 說,李敦化,34,,5,N,,,,,,draft,298,13,10,고정값,claude_opus_4_7:10 gemini:10 seam:5,,0,10
21,21_默念_1913-03,32,1913-03-15,講演,默念中三我,李敦化,24,,2,N,,,,,,draft,93,2,4,고정값,claude_opus_4_7:4 gemini:4 seam:2,,0,0
