series,slug,publish_date,tonggwon,section,title,author,page_in_journal,scan_pages,units,transcript,markers,규칙,대장,C,G,미해소,면주,auto_ratio,big_diff_ratio,gemini_empty_units,claude_empty_units,cross_checked,keyword_hits,reading_file
1,01_kwonyu_1911-01,1911-01-15,6,講演,勸誘天下失樂者,李敦化,25,3,5,정본,0,0,0,0,0,0,0,,,0,0,0,0,01_kwonyu_1911-01.reading.정본.md
2,02_信念_1911-04,1911-04-15,9,講演,信念의 神聖,李敦化,26,3,4,초벌,72,4,14,38,10,4,2,25.0,5.6,0,0,0,3,02_信念_1911-04.reading.미검수.md
3,03_宗敎_1911-06,1911-06-15,11,講演,宗敎統一은 自然의 勢,李敦化,27,3,6,초벌,136,6,27,75,14,12,2,24.3,8.8,0,0,0,13,03_宗敎_1911-06.reading.미검수.md
4,04_人乃_1911-07,1911-07-15,12,敎理部,人乃天,李敦化,10,3,6,초벌,104,1,11,65,12,14,1,11.5,13.5,1,0,0,0,04_人乃_1911-07.reading.미검수.md
5,05_觀感_1911-08,1911-08-15,13,敎理部,觀感說,李敦化,30,4,8,초벌,196,2,15,127,26,25,1,8.7,12.8,0,0,0,0,05_觀感_1911-08.reading.미검수.md
6,06_還人_1911-09,1911-09-15,14,敎理部,還人欲이라야 眞樂生이오 眞樂이라야 世界得幸福이라,李敦化,14,4,8,초벌,121,3,20,68,19,10,1,19.0,8.3,3,0,0,4,06_還人_1911-09.reading.미검수.md
7,07_大雄_1911-10,1911-10-15,15,講演,大雄無畏觀,李敦化,23,5,10,초벌,173,3,52,90,23,4,1,31.8,2.3,0,0,0,1,07_大雄_1911-10.reading.미검수.md
8,08_因果_1911-11,1911-11-15,16,講演,因果의 神案,李敦化,24,4,8,초벌,148,6,37,86,14,3,2,29.1,2.0,0,0,0,3,08_因果_1911-11.reading.미검수.md
9,09_運命_1911-12,1911-12-15,17,講演,運命說,李敦化,29,3,6,초벌,96,4,32,42,14,4,0,37.5,4.2,1,0,0,4,09_運命_1911-12.reading.미검수.md
10,,1912-01-15,18,講演,新年에 對ᄒᆞᆫ 新感想으로 新發明을 公告言,,19,4,,없음,0,0,0,0,0,0,0,,,,,0,0,10_전사없음_1912-01.reading.전사없음.md
11,11_死後_1912-02,1912-02-15,19,講演,死後問題,李敦化,21,6,12,초벌,174,6,38,99,24,2,5,25.3,1.1,1,0,0,12,11_死後_1912-02.reading.미검수.md
