series,tonggwon,publish_date,section,title,page_start,pages_held,last_held,next_title,next_page,gap,verdict
1,6,1911-01-15,講演,勸誘天下失樂者,25,3,27,吾敎는 人族大活의 目的,27,0,자력확인가능
2,9,1911-04-15,講演,信念의 神聖,26,3,28,物理學,29,1,다음지면필요
3,11,1911-06-15,講演,宗敎統一은 自然의 勢,27,3,29,貴人重人說로 溯慰前古,29,0,자력확인가능
4,12,1911-07-15,敎理部,人乃天,10,3,12,思想은 靈의 迹,12,0,자력확인가능
5,13,1911-08-15,敎理部,觀感說,30,4,33,天下와 吾族,33,0,자력확인가능
6,14,1911-09-15,敎理部,還人欲이라야 眞樂生이오 眞樂이라야 世界得幸福이라,14,4,17,道德의 要旨,17,0,자력확인가능
7,15,1911-10-15,講演,大雄無畏觀,23,5,27,誠爲吾敎之寶,27,0,자력확인가능
8,16,1911-11-15,講演,因果의 神案,24,4,27,吾敎의 新習慣은 三七字의 大精神,27,0,자력확인가능
9,17,1911-12-15,講演,運命說,29,3,31,大運歸道說,31,0,자력확인가능
10,18,1912-01-15,講演,新年에 對ᄒᆞᆫ 新感想으로 新發明을 公告言,19,4,22,無若有實若虛,23,1,다음지면필요
11,19,1912-02-15,講演,死後問題,21,6,26,慾能天大면 德亦天大,26,0,자력확인가능
12,20,1912-03-15,講演,我觀人生,32,6,37,真心不二能神聖,37,0,자력확인가능
13,21,1912-04-15,敎理部,宇宙說,9,4,12,天은 靈界오 地는 慾界,12,0,자력확인가능
14,22,1912-05-15,講演,自修喻人의 解,25,3,27,我問,27,0,자력확인가능
15,23,1912-06-15,敎理部,東經大全要旨講解,9,4,12,天在人人ᄒᆞ고 人在天天,12,0,자력확인가능
16,24,1912-07-15,敎理部,東經大全要旨講解(續),7,4,10,不知命之所在 顧吾心之明明,10,0,자력확인가능
17,26,1912-09-15,敎理部,東經要旨講解(續),14,4,17,天壽人壽說,17,0,자력확인가능
18,29,1912-12-15,敎理部,靈通力의 事實됨을 解明言(續),12,5,16,我我의 心과 我我의 材料,16,0,자력확인가능
19,30,1913-01-15,雜俎,理想中新光陰,37,3,39,陰陽曆의 說明,39,0,자력확인가능
20,31,1913-02-15,雜俎,光의 說,34,5,38,食蟲之植物,38,0,자력확인가능
21,32,1913-03-15,講演,默念中三我,24,2,25,樂觀,27,2,지면결락1면
22,37,1913-08-15,敎門訂議,紀念과 余의 告白,6,6,11,本報第三週年紀念說,11,0,자력확인가능
23,42,1914-01-15,敎理部,個性中心說,15,3,17,無有說,17,0,자력확인가능
24,44,1914-03-15,敎門訂議,定州郡敎區室實記,4,5,8,無佛이라야 有佛,8,0,자력확인가능
25,45,1914-04-15,雜俎,吊孫鳳奎文幷小引,32,3,34,詞藻,35,1,다음지면필요
26,46,1914-05-15,雜俎,韓錫泰君追悼會席에서,28,3,30,洪用嬋女史에 對ᄒᆞ야,30,0,자력확인가능
27,49,1914-08-15,雜俎,定州로 붓터 高原에,32,4,35,羅兄兩氏還元에 對ᄒᆞ야,35,0,자력확인가능
28,51,1914-10-15,雜俎,余의 暗遊,28,3,30,信者還元에 對ᄒᆞ야,31,1,다음지면필요
29,52,1914-11-15,敎理部,真理의 根底를 誤解치 勿하라,7,5,11,宗敎基礎在於敎育,11,0,자력확인가능
30,58,1915-05-15,講演,最高消遣法,25,3,27,天人의 欲能者一本,27,0,자력확인가능
31,59,1915-06-15,雜俎,篤心者의 精靈不滅,38,3,40,李一得氏 普濟의 思想에 對ᄒᆞ야,40,0,자력확인가능
32,61,1915-08-15,敎理部,人生은 神에 出ᄒᆞ야 神에 歸言故로 人生의 目的은 道를 覺홈에 在함,12,7,18,觀,18,0,자력확인가능
33,62,1915-09-15,雜俎,金剛山追憶大神師,34,3,36,刹那刹那에 職,36,0,자력확인가능
34,63,1915-10-15,講演,大宇宙之戀愛,26,3,28,片時後寂寞을 斷不爲라,29,1,다음지면필요
35,78,1917-01-15,敎門訂議,人生과 新年,5,3,7,新新解,7,0,자력확인가능
36,88,1917-11-15,敎理部,是我修養,10,3,12,一人布德이 即天下布德,13,1,다음지면필요
37,89,1917-12-15,敎門訂議,吾敎의 大宗,2,7,8,旡極我,8,0,자력확인가능
38,90,1918-01-15,敎門訂議,新年과 人生,5,3,7,愛性,7,0,자력확인가능
39,91,1918-02-15,敎理部,宗敎의 兩側面,9,3,11,天人合一,12,1,다음지면필요
40,92,1918-03-15,講演,信仰上으로 觀ᄒᆞᆯ 吾人의 努力,18,5,22,無常常觀,23,1,다음지면필요
41,94,1918-05-15,敎門訂議,兩道師巡回와 關北敎友,8,5,12,世界人族은 皆是天道敎人,12,0,자력확인가능
42,95,1918-07-15,敎理部,大神師性靈出世說(其一),10,5,14,東經大全 講解(其一),14,0,자력확인가능
43,97,1918-09-15,雜俎,追悼香山文,37,3,39,李鍾海氏追悼文,38,-1,초과
44,100,1918-12-18,敎門訂議,百號紀念에 對ᄒᆞᆫ 余의 感想,9,5,13,百號의 記念과 余의 哀情,14,1,다음지면필요
45,101,1919-01-15,敎門訂議,新年元旦,8,5,12,新元小感,11,-1,초과
46,102,1919-02-15,敎門訂議,將來의 宗敎,1,6,6,天道敎의 將來,7,1,다음지면필요
47,103,1919-03-15,敎理部,我觀東經,14,5,18,海月神師의 表明하신 兩大敎規,18,0,자력확인가능
48,104,1919-04-15,敎理部,靈通說,24,5,28,四十九日祈禱後,29,1,다음지면필요
