# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_2_p2u.txt

[section] 講演
[col 02] 種이며天堂地獄에永生을求ᄒᆞ도亦信의一
[col 03] 種이며其他阿諛附勢로權門에一生을委托
[col 04] ᄒᆞ며自然主義로日數年運에禍福를專任ᄒᆞ
[col 05] 도亦信의一種이라此等廣義로論ᄒᆞ면世界
[col 06] ᄂᆞᆫ一種汎信的表顯이라性質上으로觀ᄒᆞ면
[col 07] 正虛의區別이有ᄒᆞ니人된者ㅣ不可不信念
[col 08] 의神聖을先覺ᄒᆞᆯ지니라如何ᄒᆞᆫ者를虛信이
[col 09] 라謂ᄒᆞ고信念은有ᄒᆞ되擇性이無ᄒᆞ며方法
[col 10] 이無ᄒᆞ며主見이無ᄒᆞ며一片丹心은天地間
[col 11] 無情物의所奪이되고七尺肉塊가風潮中客
[col 12] 性熱에笑啼ᄒᆞ니有物은知ᄒᆞ되有我를不知
[col 13] ᄒᆞ며有形은見ᄒᆞ되無形은不見ᄒᆞ니有物
[col 14] ᄒᆞᄂᆞᆫ故로崇拜心은生ᄒᆞ되有我를不知
[col 15] 을知ᄒᆞᄂᆞᆫ故로主權性이無ᄒᆞ며有形을見ᄒᆞᄂᆞᆫ故
[col 16] 로肉身觀念은大ᄒᆞ되無形은不見ᄒᆞᄂᆞᆫ故로
[col 17] 性靈觀念이無ᄒᆞ야百年間喜怒哀樂을一切
