# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p2u.txt

[section] 敎理部
[col 02] 分千期爲一瞬ᄒᆞ야去去爲則ᄒᆞ니兩儀도此機中이며四象도此能中이라
[col 03] 於是에一草一石의徹妙物이며의造化一部를包含ᄒᆞ야盛衰長短도靈妙無窮
[col 04] 任이로다盖人은天의鍾愛子라何者이不能自의造化一部를包含ᄒᆞ야盛衰長短도靈妙無窮
[col 05] 溯究的이니有父ᄒᆞ며有祖故로有
[col 06] 父ᄒᆞ며有曾祖故로有祖故로有子ᄒᆞ며無上第一祖
[col 07] 의有人의始ᄂᆞᆫ抑亦誰의子오必曰天이로다
[col 08] ᄋᆞ自証的이니自省自在ᄒᆞ면有形之組織也
[col 09] 物質焉ᄒᆞ며無形之組織也性靈焉ᄒᆞ니試問
[col 10] 是質是靈을執使組織之也命令之也며執使命令之也
[col 11] 며又何爲而組織之也命令之也오不要多言
[col 12] 而天은有無界統治之主宰也라然이나其位
[col 13] 置也無形故로不可直接於有界니有一部
[col 14] 分으로無界一部分이造化爲成名ᄒᆞ야有界
[col 15] 統治權을轄與ᄒᆞ시니此乃天이天을遣ᄒᆞ야
