# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_5_p3u.txt

[title] 敎理部
[col 02] 룰不知ᄒᆞᄂᆞ者ㅣ有天을何知며天룰不知ᄒᆞ
[col 03] ᄂᆞ者ㅣ有樂을何知리오其終日所研究者룰
[col 04] 譯術ᄒᆞ면玉堂金馬權利客과貨海財山富家
[col 05] 兒와靑春白馬遊蕩子로精交神遊ᄒᆞ야食而
[col 06] 不知其味ᄒᆞ며臥而不成一寐라가眞精神靈
[col 07] 魂兒가半覺醒이면忽然如失ᄒᆞ야如狂如醉
[col 08] 에莫知所向ᄒᆞᄂᆞ니惟心은惟精惟一이라야
[col 09] 能成道得味ᄒᆞ야늘彼昏은沒覺ᄒᆞ야一日에有
[col 10] 幾時之變心ᄒᆞ고一月에有幾十日之變心ᄒᆞ
[col 11] 고一年에有幾個月之變心ᄒᆞ고一生에有幾十
[col 12] 年之變心ᄒᆞ야活食이成習ᄒᆞ며暴棄가成痼
[col 13] ᄒᆞ며嫉妬가交起ᄒᆞ며衝突이自生ᄒᆞᄂᆞ니一
[col 14] 片丹田에千荊萬棘이叢生ᄒᆞ야退之則刺背
[col 15] ᄒᆞ고進之則刺智ᄒᆞ며躍之則刺頭ᄒᆞ고墜之
[col 16] 則刺足ᄒᆞ야拂ᄒᆞ야도莫去ᄒᆞ며滌ᄒᆞ야도莫
