# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_5_p3u.txt

[section] 講演
[col 02] 至人은能入이나不能出ᄒᆞ며庸人은能出이
[col 03] 나不能入ᄒᆞ니能入不出이면身界空이오能
[col 04] 出不入이면性界亡이니過라可畏오
[col 05] 後者ᄂᆞᆫ不及이라亦可畏로다
[col 06] 然則大雄無畏ᄂᆞᆫ何者오能出能入ᄒᆞ며能
[col 07] 能靜者ㅣ니此ᄂᆞᆫ不可不具體的權能되ᄂᆞᆫ智仁
[col 08] 勇三達德이是己로다
[col 09] 草昧人民이水火木石을崇拜ᄒᆞ며日蝕彗出
[col 10] 을異怪ᄒᆞ며身數年運을自信ᄒᆞ야出入을自
[col 11] 由치못ᄒᆞ며動靜을任意치못ᄒᆞ야一切畏懼
[col 12] 謹愼ᄒᆞᄂᆞᆫ바主體에在치아니ᄒᆞ고物의客體
[col 13] 에在ᄒᆞ느니此ᄂᆞᆫ硏究性의所關된知力未及
[col 14] 의所致라雲疊萬山ᄒᆞ고雪滿千谷ᄒᆞᆫ데地理
[col 15] 의經歷이無ᄒᆞᆫ者ᄂᆞᆫ尋眞誤入의弊를難免ᄒᆞᆯ
[col 16] 지며月暈夜川ᄒᆞ고流亂石灘ᄒᆞᆫ데水性의前
[col 17] 驗이無ᄒᆞᆫ者ᄂᆞᆫ沒身碧流의害를必遭ᄒᆞᆯ지라
