# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_7_p4u.txt

[title] 講演
[col 02] 沈强克忍絕對我力大刀活斧를持ᄒᆞ고世運의
[col 03] 逆流에立ᄒᆞ야時禍의亂絲를快斷ᄒᆞ고狂瀾
[col 04] 을旣倒에回코자ᄒᆞ야白白ᄒᆞᆫ心과赤赤ᄒᆞᆫ血
[col 05] 로世界를一洗ᄒᆞ나니此는卽自古宗教의大
[col 06] 身의先芳라善의當敢도能知ᄒᆞ며惡의當改
[col 07] 도能知ᄒᆞ며惡習慣의當變도能知ᄒᆞ며新宗
[col 08] 敎就新도能知로되逡巡不忍改ᄒᆞ며奄息不
[col 09] 能擧ᄒᆞ니人生의至劣이無勇에서過ᄒᆞᆫ者一
[col 10] 何有리오動機의始눈智仁이며動機의終은
[col 11] 結果니日新又新의大勇氣로驀直히新生涯
[col 12] 에入ᄒᆞ야宇宙도能呑ᄒᆞ며鬼神도能使ᄒᆞ며
[col 13] 世界도能運ᄒᆞ야大氣槪가無窮ᄒᆞ면天於地의人
[col 14] 格을難成ᄒᆞ지니大雄無畏의先導에不可無
[col 15] 者勇力이로다
[col 16] 大雄無畏의範圍는智仁勇이오智仁勇의結
[col 17] [?字]
