# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_9_p5u.txt

[section] 講演
[col 02] 三十代에는二十一億四千七百八十八萬三
[col 03] 千六百四十八人의父母가有ᄒᆞ야一事實이
[col 04] 有ᄒᆞ면如此偉大ᄒᆞᆫ根底가有ᄒᆞᆷ으로假令我
[col 05] 가外國을遊學ᄒᆞ야法律을習ᄒᆞᆫ다ᄒᆞ면我에
[col 06] 對ᄒᆞ外國과對ᄒᆞ法律을對ᄒᆞᆫ다ᄒᆞ면我에
[col 07] 法律과外國에對ᄒᆞᆫ國家와學校에對ᄒᆞ
[col 08] 과人民에對ᄒᆞ心意와心意에對ᄒᆞ善惡과善
[col 09] 惡에對ᄒᆞ動機가層層原因이有ᄒᆞ며層層根
[col 10] 底가有ᄒᆞ야實로不可思議의境ᄉᆡ지至ᄒᆞᄂᆞ
[col 11] 니然則人에ᄂᆞᆫ絶對의自由가無ᄒᆞ고其深奧
[col 12] 的引力伸張에依ᄒᆞ야動靜이始生ᄒᆞᄂᆞ니如
[col 13] 何ᄒᆞᆫ것을不自由로區別ᄒᆞᆯ지最大疑
[col 14] 間의一이로다盖人은恒常二個方面이有ᄒᆞ
[col 15] 야一方面으로向ᄒᆞ야作用코자ᄒᆞ면他一面
[col 16] 은此를抵抗ᄒᆞᄂᆞᆫ力이生ᄒᆞᄂᆞ니此抵抗力의
[col 17] 大小關係와排除能否에依ᄒᆞ야聖凡賢不肖
