# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p2u.txt

[section] 講演
[col 02] 懶惰와虛華浮榮의奢侈와自滿自足의驕心
[col 03] 이一切風的雨的霜的雪的魑魅魍魎의修羅
[col 04] 場을呈出ᄒᆞ니人類ᄂᆞᆫ有ᄒᆞ되天性은無ᄒᆞᆫ듯
[col 05] 天性은有ᄒᆞ되道心은無ᄒᆞ야鬼脉이陰陰ᄒᆞ
[col 06] 며暮色이沉沉ᄒᆞ며病質이奄奄ᄒᆞ니是可看
[col 07] 過ᄒᆞᆯ地頭리오加之以批評的唇舌로動輒曰
[col 08] 今世界ᄂᆞᆫ長雄時代―라ᄒᆞ며科學時代라宗
[col 09] 敎ᄂᆞᆫ迷信이라ᄒᆞ야天下를率ᄒᆞ야鬼門魔
[col 10] 窟下에吟吟呻呻ᄒᆞ니嗚呼라歎ᄒᆞ며憫ᄒᆞᆯᄃᆞᆯ
[col 11] 何益이有ᄒᆞ며驚ᄒᆞ야愁ᄒᆞᆯᄃᆞᆯ何가有ᄒᆞ리
[col 12] 오先覺이後覺을覺ᄏᆡᄒᆞ며先知가後知를知
[col 13] ᄏᆡᄒᆞᆷ은理의所定이며古德의遺言이라然則
[col 14] 是風是雨中에坐ᄒᆞ야先覺先知의責任으로
[col 15] 天下를化ᄒᆞ야道風德雨의天國을作ᄏᆡᄒᆞᆯ者
[col 16] ―非吾敎伊誰오(圖來三七字降盡世間魔)
[col 17] ᄂᆞᆫ大神師의法沼로다
