# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_1_p1u.txt

[title] 東經大全要旨講解(續)
[section] 敎理部
[col 03] 日月이卽我之明이오聾者ᄂᆞᆫ勿謂重聽이어
[col 04] 다天之雷靈이卽我之聲이오貧者ᄂᆞᆫ勿謂無
[col 05] 財ᄒᆞ다奇寶異珍이樂園에準備ᄒᆞ고疾病者
[col 06] ᄂᆞᆫ勿謂無醫어다靈符仙藥이天府에蓄積이
[col 07] 니라今에吾道ᄂᆞᆫ非別件事라劈破五萬年舊
[col 08] 天地而掃除査滓ᄒᆞ며創出五萬年新天地而
[col 09] 開放光線ᄒᆞ니聾者ㅣ何患乎無耳며聲者
[col 10] ㅣ何患乎重聽이며貧者ㅣ何患乎無財며疾
[col 11] 病者ㅣ何患乎無藥이리오至誠事天則天이
[col 12] 感動ᄒᆞ야使無目者로視ᄒᆞ며重聽者로聰
[col 13] ᄒᆞ며無財者로富ᄒᆞ며無藥者로愈ᄒᆞ니此非
[col 14] 天道而何오故로吾ㅣㅣ大言于衆曰今不聞古
[col 15] 不聞之吾道라ᄒᆞ며又曰天地之先에有吾道
[col 16] 라ᄒᆞ노라
