# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p2u.txt

[section] 雜組
[col 02] 綠水가有ᄒᆞ며白雲紅樹가有ᄒᆞ며松韻溪聲
[col 03] 이有ᄒᆞ며天風海濤가有ᄒᆞ야는實로
[col 04] 性天의眞境에始達ᄒᆞᆯ지로다
[col 05] 一日의預筭은朝에在ᄒᆞ고一年의預筭은一
[col 06] 月에在ᄒᆞᄂᆞ니滿天下諸大家ㅣ各各自己에
[col 07] 對ᄒᆞᆫ理想的預筭이不無ᄒᆞᆯ지로다吾輩ᄂᆞᆫ宗
[col 08] 敎家라宗敎에對ᄒᆞᆫ施力이不無ᄒᆞᆯ지며宗敎
[col 09] 에對ᄒᆞᆫ方針이不無ᄒᆞᆯ지니此에對ᄒᆞ야劈頭
[col 10] 第一로主唱ᄒᆞᄂᆞᆫ바ᄂᆞᆫ主觀客觀의誠力的修
[col 11] 煉이로다
[col 12] 善人은一面에셔心이며他一面에셔物이니
[col 13] 主觀的誠力에在ᄒᆞᆫ者心이오客觀的誠力에
[col 14] 在ᄒᆞᆫ者物이니라수에公平ᄒᆞᆫ眼目으로大界
[col 15] 를一瞰ᄒᆞ면人生의本面되ᄂᆞᆫ天眞一團이圓
[col 16] 滿라謂키不可ᄒᆞ도다吾等의新年責任은實
[col 17] 로此天眞發揮ᄒᆞᆷ에在ᄒᆞ니大盖天眞이라ᄒᆞᆷ
