# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p2u.txt

[section] 講演
[col 02] 分을得ᄒᆞ지라도彼仰觀昭昭ᄒᆞ無數太陽界
[col 03] 가吾의富貴的世界外의世界을成ᄒᆞ야無厭
[col 04] 의慾線이又彼에向ᄒᆞ야一試를更加ᄒᆞᆯ지니
[col 05] 然則欲望을達ᄒᆞᆯ際限이無ᄒᆞᆷ으로極樂을得
[col 06] ᄒᆞᆯ一日이甚渺ᄒᆞ니名詞의極樂은有ᄒᆞ나實
[col 07] 地의極樂은到底히可望이無ᄒᆞ고妄想界에
[col 08] 徘徊ᄒᆞ야此神明靈澈ᄒᆞᆫ分子天으로愁雲夜
[col 09] 谷에鬼脉이陰陰ᄒᆞ며日迫西山에暮色이沉
[col 10] 沉ᄒᆞᆫ態을呈ᄒᆞ도다然則吾所謂極樂은何에
[col 11] 在ᄒᆞ고彼無根無源의驚世自喜ᄒᆞ는客氣의
[col 12] 樂과循時妄動ᄒᆞ는奴性의樂이아니라放之
[col 13] 則六合이彌ᄒᆞ고捲之則方寸에藏ᄒᆞ야斷斷
[col 14] 無二ᄒᆞᆫ心田一片이로다究我身은小分一世
[col 15] 오我性은小分一天이라天으로宇宙를觀ᄒᆞ
[col 16] 면宇宙도此中生이며天으로富貴를觀ᄒᆞ면
[col 17] 富貴도此中生이라知命이어니其壽란天久
