# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p2u.txt

[section] 講演
[col 02] 二曰人의我無厭
[col 03] 의好色을能히自厭
[col 04] ᄒᆞ며無敵의美味를
[col 05] 能히節調ᄒᆞ며無恒
[col 06] 의財貨를能히中度
[col 07] 케ᄒᆞᄂᆞᆫ心은禽獸에
[col 08] 게도亦稀ᄒᆞ며凡類
[col 09] 人은不專可能ᄒᆞ同
[col 10] 時에賢人以上이야
[col 11] 唯專可能ᄒᆞ나니故
[col 12] 로此等心은生物을
[col 13] 通ᄒᆞ야共有ᄒᆞᆫ바아
[col 14] 니나換言ᄒᆞ면此心
[col 15] 은生物의肉樂을增
[col 16] 長케ᄒᆞᄂᆞᆫ者아니오
[next] 
[title] 今古俚海
[col 19] 誠孝感天
[col 20] 炭泉郡有都孝子(逸其名)養母
[col 21] 易肉歸時有一鳶攫去其所易
[col 22] 悶忙之際母曰有紅柿冀之
[col 23] 何得罪冥語及有紅柿時五月
[col 24] 日之將盡忽搖耳以示騎路俯伏
[col 25] 終不去掉尾安東春陽面山村
[col 26] 及零里所此乃有人家松燈耿耿
[col 27] 十欣如識可少焉進祭儀淡泊
[col 28] 紅柿迎日此眞天感欣君孝吾先考
[col 29] 主人曰然眞天感欣君孝吾先考
[col 30] 取其半熟者二百顆藏諸土窟
[col 31] 其爛濃者五十餘顆而及期而
[col 32] 年得全數而歸曰君其盡裏都
[col 33] 佁二十有餘都完裏都拜于
[col 34] 人日曉歸家母病卽愈其後母終
[col 35] 等待又乘之歸家母病不可懈卽夜出門
[col 36] 距今三十年之所到天其感應者於古何限而
[col 37] 噫誠之所到天其感應者於古何限而
[col 38] 者幾希矣惜乎其泯然無傳
