# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_6_p3l.txt

[section] 六
[col 02] 建築中天師默祐가如斯ᄒᆞᆫ至誠熱心으로進
[col 03] 行ᄒᆞᄂᆞᆫ裡에엇지天師의默祐가無ᄒᆞ리오今
[col 04] 에確實無疑ᄒᆞᆫ바를擧ᄒᆞ건ᄃᆡ
[col 05] 工事方進의中에金鎭八崔皙一兩氏ᄂᆞᆫ晝夜
[col 06] 奔走ᄒᆞ야博川流木買入에汩沒ᄒᆞ더니時ᄂᆞᆫ
[col 07] 布德五十三年八月이라材木運漕船은旣히
[col 08] 定州沿岸達川江下流에着ᄒᆞ얏ᄂᆞᆫᄃᆡ本川은
[col 09] 水量이本少ᄒᆞ야連抱의木을運搬키根本的
[col 10] 不能ᄒᆞᆫ中況旱魃의連久乎아工事의大障礙
[col 11] 가生ᄒᆞ며又能히人力으로如何키不能ᄒᆞᆷ을
[col 12] 測ᄒᆞᆫ兩氏ᄂᆞᆫ兩相顧ᄒᆞ면셔今에天師의
[col 13] 默祐를賴치아니ᄒᆞ면到底不能타ᄒᆞ고厥宵
[col 14] 의更이盡토록暗暗히皇天神師의前에默禱
[col 15] ᄒᆞ더니忽然大雨의聲이從東至西ᄒᆞ면셔僅
[col 16] 히四時間頃에川水가三尺의增加에達ᄒᆞᆫ바
[col 17] 數千金으로도運搬케不能ᄒᆞ던材木을摧히
