# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p2u.txt

[title] 敎門訂議
[col 02] 처음으로實現ᄒᆞ며現在億兆의勞勞勉勉ᄒᆞ
[col 03] 던刹那主義는後來億兆의思想을根據로ᄒᆞ
[col 04] 고亦實現ᄒᆞᄂᆞ니古代人의思想이如何히高
[col 05] 尙ᄒᆞ며今代人의思想이如何히卑劣ᄒᆞ지라
[col 06] 도其로서進化의轉倒라謂치못ᄒᆞ지라勿論
[col 07] 或時代에在ᄒᆞ야思想程度가比較的下劣치안
[col 08] 니뿐안니나其는進化의路程에在ᄒᆞ야一高低
[col 09] 뿐進化의潮流中에在ᄒᆞ야波山波谷뿐進化其
[col 10] 者의問題는안이니라故로進化를目的ᄒᆞᄂᆞᆫ
[col 11] 宇宙의一切事物은固定不變ᄒᆞᄂᆞᆫ者안이오
[col 12] 內로思想狀態를變化케ᄒᆞ며外로形容狀態
[col 13] 를變化케ᄒᆞᄂᆞ니變은卽進인데化는卽成이
[col 14] 니라然ᄒᆞ면古代人의討究ᄒᆞ던思想의餘瀝
[col 15] 을今代人이亦裸々히그대로取ᄒᆞ야思想上
[col 16] 滋養分을삼기決코危險치안타謂치못ᄒᆞ지
[col 17] 로다勿論道는萬古不變이니라然ᄒᆞ나其方
