# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p2u.txt

[section_running] 講演
[col 02] 解決이라云ᄒᆞᄂᆞᆫ理論中에도的信키難ᄒᆞᆫ分
[col 03] 子가多ᄒᆞᆷ을疑ᄒᆞ노니其ᄂᆞᆫ認識上解答이缺
[col 04] 如ᄒᆞᆷ으로써니라但吾人의眼中에現實ᄒᆞᆫ바
[col 05] ᄂᆞᆫ赤裸裸ᄒᆞᆫ一生命的肉塊가母胎中에出ᄒᆞᆷ
[col 06] 을見ᄒᆞᆯᄲᅮᆫ兼ᄒᆞ야腐臭臭ᄒᆞᆫ一尸殼이泉土中
[col 07] 에埋沒됨을見ᄒᆞᆯᄲᅮᆫ不知케라靈의個体가遊
[col 08] ᄒᆞᄂᆞᆫ三千白玉樓의別區가有乎아耶曰天
[col 09] 國이니라佛曰三生이니라然ᄒᆞ나吾人은其
[col 10] 所謂天國其所謂極樂은衆生에게與ᄒᆞᆫ最高消
[col 11] 遺法에不過라ᄒᆞ노라故로宗敎ᄂᆞᆫ最高消
[col 12] 遣法ㅣ됨을忘치勿ᄒᆞᆯ지어다盖人生은消遣
[col 13] 法的動物이라生ᄒᆞ야認識이有ᄒᆞ야一切을
[col 14] 知ᄒᆞ며一切을情ᄒᆞ며一切을意ᄒᆞᄂᆞ니其知
[col 15] 라動치안코저ᄒᆞᆫ덜可得ᄒᆞ며其情이라慾
[col 16] 치안코저ᄒᆞᆫ들可得ᄒᆞ며其意라量치안코
[col 17] 저ᄒᆞᆯ들可得ᄒᆞ리오故로人生은己코저ᄒᆞ
