# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p2u.txt

[title] 講演
[col 02] 解決이라云ᄒᆞ는理論中에도的信키難흐고分
[col 03] 子가多흐고을疑ᄒᆞ노니其는認識上鮮答이缺
[col 04] 如ᄒᆞᆷ으로써니라但吾人의眼中에現實흐바
[col 05] 는赤裸裸흐一生의肉塊가母胎中에出ᄒᆞ
[col 06] 을見ᄒᆞ고是兼ᄒᆞ야腐臭臭흐一尸殼이泉土中
[col 07] 에埋沒됨을見ᄒᆞ고豈不知케라靈의個体가遊
[col 08] 弋ᄒᆞ는三千白玉樓의別區가有乎아耶曰天
[col 09] 國이니라佛曰三生이니라然ᄒᆞ나吾人은其
[col 10] 所謂天國其所謂極樂은衆生에게與흐最高
[col 11] 消遣法에不過ᄒᆞ노라故로宗敎는最高消
[col 12] 遣法一됨을忘치勿홀지어다蓋人生은消遣
[col 13] 法的動物이라生ᄒᆞ야認識이有ᄒᆞ야一切을
[col 14] 知ᄒᆞ며一切을情ᄒᆞ며一切을意ᄒᆞ느니其知
[col 15] 라動치안코져져덜可得ᄒᆞ며其情이라慾
[col 16] 치안코져져들可得ᄒᆞ며其意라量치안코
[col 17] 져져들可得ᄒᆞ리오故로人生은己코져져
