# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_5_p3u.txt

[section_running] 敎理部
[col 02] 니라諸氏여吾人은何故로如斯히苦痛이有
[col 03] ᄒᆞ性情으로如斯히地獄인世의中에遊ᄒᆞᆯᄉᆡ
[col 04] ᄂᆞᆫ고是ᄂᆞᆫ記者ᄂᆞᆫ目的論을一考코져ᄒᆞᄂᆞᆫ바이
[col 05] 라
[col 06] 盖人生은如斯ᄒᆞᆫ性情으로如斯ᄒᆞᆫ世의中遊
[col 07] ᄉᆡᄒᆞᆷ은旣定不動의運命인ᄃᆡ故로人生은此
[col 08] 旣定不動의運命은免키不能ᄒᆞ면서如何히
[col 09] ᄒᆞ면少ᄒᆞ야도何보다以上의生活을得ᄒᆞᆯ가
[col 10] 活動ᄒᆞᆷ이是ᄂᆞᆫ人生第初段의目的論이니라故
[col 11] 로生活의主素된苦痛을免키爲ᄒᆞ야業으로
[col 12] ᄡᅥ衣食을求ᄒᆞ며醫藥으로疾病을濟ᄒᆞ며道
[col 13] 德으로衝動을調和ᄒᆞ며宗敎로精神을慰安
[col 14] ᄒᆞ며政治로方策을布施ᄒᆞᄂᆞ니是等諸般活
[col 15] 動을一言으로獎ᄒᆞ면人生은人生의大賊되
[col 16] ᄂᆞᆫ苦痛(內外)을滅키爲ᄒᆞ야苦痛으로더부
[col 17] 러戰爭을開始ᄒᆞᆷ에不外ᄒᆞ도다
