# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p2u.txt

[section] 講演
[col 02] 僻見이면無其然無不然이로다恰似庭園之
[col 03] 東西門ᄒᆞ야入東門者ᄂᆞᆫ西門은不然이로되
[col 04] 東門은其然ᄒᆞ며入西門者ᄂᆞᆫ西門은其然ᄒᆞ
[col 05] 되東門은不然이나入其庭園也ᄒᆞ야ᄂᆞᆫ東門
[col 06] 也西門也에有何不然其然之爭이리오試究
[col 07] 天下敎門의多種인딘此ᄂᆞᆫ人文未闢과交通
[col 08] 阻隔의時代에自然ᄒᆞᆫ勢로다宗敎의起源은
[col 09] 多神時代로始ᄒᆞ야部分時代에移ᄒᆞ니此時
[col 10] ᄂᆞᆫ水火木石日月等의天地間無情物을邀ᄒᆞ
[col 11] 야崇拜ᄒᆞ며迷信ᄒᆞ니一種汎神的時代라此
[col 12] 時天翁의念慮가갓不少ᄒᆞ시샤衆生靈覺의
[col 13] 發生ᄒᆞᆷ을從ᄒᆞ야宗敎部分時代로移ᄒᆞ니曰
[col 14] 儒曰佛曰仙曰回回曰婆羅門曰猶太等의諸
[col 15] 敎가各其東西에分立ᄒᆞ야世界迷昧人으로
[col 16] 歸眞의路를指導ᄒᆞ야非[?]ᄒᆞ녀[?]日虛無로
[col 17] 異ᄒᆞ야互相鬪魂[?]로非下ᄒᆞ녀[?]日虛無[?]
