# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_9_p5u.txt

[section] 講演
[col 02] 눈도다年老을悲ᄒᆞ눈人은萬事를年老에假托ᄒᆞ야偉
[col 03] 大ᄒᆞᆫ能力의發達을塞ᄒᆞ고生涯를斷去ᄒᆞᄂᆞ니大抵
[col 04] 是로붓허機會로不來ᄒᆞ리라ᄂᆞᆫ通知ᄂᆞᆫ決코此世에서
[col 05] 聞치못ᄒᆞ엿ᄂᆞ니吾人이만일眞理를認ᄒᆞ야此를行코
[col 06] 져ᄒᆞ면엇지遲를憂ᄒᆞ며晚을嘆ᄒᆞ리오唯所要ᄂᆞᆫ信
[col 07] 仰과奮鬪로써飜然히改心ᄒᆞᄂᆞᆫ一事샏이로다그리
[col 08] ᄒᆞ야自己로自己를信賴ᄒᆞ고機宜에應ᄒᆞ야代價를償
[col 09] ᄒᆞ며成功과發達을爲ᄒᆞᄂᆞᆫ精神的信仰만有ᄒᆞ면何
[col 10] 事를爲ᄒᆞ야不成ᄒᆞ리오故로偉大ᄒᆞᆫ自信力이常히
[col 11] 知識에依ᄒᆞ야活動ᄒᆞᄂᆞᆫ間은紅顏白髮인들엇지可悲
[col 12] ᄒᆞᆯ바이리오
[col 13] 蓋人의生活을益々히高尙케ᄒᆞ며愈々히有望케ᄒᆞᄂᆞᆫ
[col 14] 眞理의道ᄂᆞᆫ彼自身으로此를閉치아니ᄒᆞ면決코閉
[col 15] ᄒᆞᄂᆞᆫ者안이니吾人으로須히此眞理를感得確信ᄒᆞ야
[col 16] 的信仰으로己의生涯에對ᄒᆞᆫ眞要素가되게ᄒᆞ랴然
[col 17] ᄒᆞ면吾人은前途에向ᄒᆞ야無限의進步를得ᄒᆞ리라要
[col 18] 눈오직造次顚沛間에도常히人乃天의至力을致ᄒᆞ되
[col 19] 如何ᄒᆞᆫ結果가起來ᄒᆞᆯ지라도靜然히穩然히修養ᄒᆞᆷ에
[col 20] 在ᄒᆞᆯᄲᅮᆫ如何히ᄒᆞ면可得ᄒᆞᆯ만ᄒᆞᆫ者이마思ᄒᆞ야前途를
