# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_5_p3u.txt

[title] 敎門訂議
[col 02] 大全一冊을今日의五号活字로印刷ᄒᆞ면僅히新聞一枚에
[col 03] 不過ᄒᆞ거늘大神師ᄂᆞᆫ此小좀冊子의中에敢히天地無窮의
[col 04] 數가伏在ᄒᆞ고道之無極의理가包含ᄒᆞ엿다宜言ᄒᆞ심은甚
[col 05] 히怪異치아니ᄒᆞ냐君等이能히此疑惑을解釋ᄒᆞ면玆에吾
[col 06] 敎의眞諦를理解ᄒᆞᆫ다言ᄒᆞ리라君等은能히三大綱領과五
[col 07] 大實行을體現ᄒᆞ야更히一大目的에達ᄒᆞᆫ日이면처음으
[col 08] 로此節의意義를解釋ᄒᆞ리라」ᄒᆞ시고更히言을繼ᄒᆞ시사
[col 09] 曰「君等이能히五軍의書을通讀ᄒᆞᄂᆞᆫ知力이有ᄒᆞᆯ지라도
[col 10] 此를實行치못ᄒᆞ면是ᅳ君等의게何益이有ᄒᆞ리오又ᅳ社
[col 11] 會에何益이有ᄒᆞ리오所謂書自書人自人이라然ᄒᆞ면今日
[col 12] 吾敎의實行條件이雖簡單ᄒᆞᆯ지라도此를實地踐行ᄒᆞᆷ에셔
[col 13] 天地無窮之數가發現되고道之無極之理가表顯ᄒᆞ리니是
[col 14] ᅳ今日余의敎ᄒᆞᄂᆞᆫ바方式이ᅳᅳ大神師의眞意에符合ᄒᆞᆷ
[col 15] 이라」ᄒᆞ시다
[col 16] 果然ᄒᆞ다譬師ᄂᆞᆫ徹頭徹尾의大宗敎家이라若人이何點에
[col 17] 譬師ᄂᆞᆫ徹頭徹尾의大宗敎家니ᄂᆞ問ᄒᆞ면余ᄂᆞᆫ決코臆斷을
[col 18] 避ᄒᆞ고自見을超ᄒᆞ야一言으로此를例證ᄒᆞ리라盖宗敎家
[col 19] ᄂᆞᆫ決코理想과空論으로一世를左右ᄒᆞᄂᆞᆫ바아니오實踐應
