# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p3.txt

[section_running] 敎門訂議
[col 02] 늘我가從ᄒᆞ야樂ᄒᆞᆯ又何益이有ᄒᆞ랴世界가皆憂ᄒᆞ거늘
[col 03] 我從ᄒᆞ야憂ᄒᆞᆫ들又何益이有ᄒᆞ랴物은自
[col 04] 人이며人은自我이니我ㅣ엇지自我로써物
[col 05] 의愛에愛ᄒᆞ야人愛ᄒᆞ며物의樂에樂ᄒᆞ야人의
[col 06] 憂ᄒᆞ야愛ᄒᆞ며人의樂에樂ᄒᆞ며又人의憂에
[col 07] 不憂ᄒᆞ며物의樂이라ᄒᆞ야人의愛에愛ᄒᆞ야
[col 08] 며人의樂이라ᄒᆞ야不樂ᄒᆞ랴
[col 09] 萬物靜觀皆自得이라ᄒᆞ니是哲人의直覺的妙理니라萬物
[col 10] 이旣皆自得이有ᄒᆞᆯ지면余도亦余의自得이有ᄒᆞ리니余ᄂᆞᆫ
[col 11] 余의自得ᄒᆞᆫ바로써憂ᄒᆞᆯ때憂ᄒᆞ며樂ᄒᆞᆯ대樂ᄒᆞ야써安心
[col 12] 分의境涯에逍遙코저ᄒᆞ노니是가余의擘頭自斷ᄒᆞᆫ鐵案인
[col 13] 仝時에余의新年에感ᄒᆞᆫ바自信이로다
[section] 二壽夭
[col 15] 新年元旦에在ᄒᆞ야눈바논所謂光陰의如流도
[col 16] 다然而光陰의流波에浮沉ᄒᆞᄂᆞᆫ吾人으로最히心事를麻痺
[col 17] ᄏᆡᄒᆞᄂᆞᆫ者ᄂᆞᆫ所謂壽夭가是니元來人의最大慾望은壽命에
[col 18] 서逼靈者無ᄒᆞᆯ로써라然이나此ᄂᆞᆫ但欲望이라云ᄒᆞᆯ빤
[col 19] 懷에止ᄒᆞᆯᄲᅮᆫ이오事實에就ᄒᆞ야ᄂᆞᆫ何人의力으로도此를左
[col 20] 右키不能ᄒᆞᄂᆞ니於是에吾人은此壽夭에對ᄒᆞ야大宇宙의大
[col 21] 悲肚이生ᄒᆞ리라만일少ᄒᆞ야도此問題를解脫ᄒᆞ면其人이
[col 22] 로通常의觀을爲ᄒᆞᆷ에不過ᄒᆞᆫ者오若彭祖를地下에喚起ᄒᆞ
[col 23] 야此를問ᄒᆞ야보라彭祖自身에對ᄒᆞ야ᄂᆞᆫ八百歲의生涯
[col 24] 實로無何有인ᄎᆞ一朝의春夢에不過ᄒᆞ리라又圖中에逍遙ᄒᆞ
[col 25] 야大椿의根底를撫來ᄒᆞ라八千歲의長壽일지라도大椿其
[col 26] 지果ㅣ有ᄒᆞ리오若彭祖八千歲가長壽라云ᄒᆞ면蟪蛄의短命
[col 27] 도長短의徑庭이有ᄒᆞᆯᄲᅮᆫ이라도皆其의生涯에서少許
[col 28] 亦將蟪蛄渠略의短壽夭折일지라도皆其의生涯에서少許
[col 29] 으로無窮의萬有를達觀ᄒᆞ면彭祖의長壽大椿의八千歲도
[col 30] 眞實로此身을死生의外에置ᄒᆞ고瞑目諦視ᄒᆞ야無窮의眼
[col 31] 然이나是單히一時的比喩ᄒᆞᄂᆞᆫ文字로應用ᄒᆞᆷ에不過ᄒᆞᆫ者오
[col 32] 渠略이라든지蟪蛄라든지大椿을引用ᄒᆞ고其最短命ᄒᆞ者
[col 33] 며草木으로ᄂᆞᆫ大椿을引ᄒᆞ면人生의標本으로ᄂᆞᆫ彭祖를引用ᄒᆞ
[col 34] 야말로知道의士라云ᄒᆞᆯ지니余의特記코저ᄒᆞᄂᆞᆫ바
