# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_6_p6.txt

[section] 敎理部
[col 02] 이니라一切의生物堅物乃至損物不淨의食은
[col 03] 皆食ᄒᆞᆷ이不可ᄒᆞ니라腹中이鳴動ᄒᆞ고身心이熱惱
[col 04] ᄒᆞ면打座에有害ᄒᆞ니라一切의美食을耽着ᄒᆞᆷ이不
[col 05] 可ᄒᆞ니다못身心에欲이有ᄒᆞᆯᄲᅮᆫ아니라貪欲이아직
[col 06] 免치못ᄒᆞᆫ所以니라食은다못氣를支ᄒᆞᆯ것이오
[col 07] 며奢咪를嗜ᄒᆞᆷ은不可ᄒᆞ다或은飽食ᄒᆞ고打座ᄒᆞ면
[col 08] 是發病의因緣이니라
[col 09] 此와如히靜坐ᄒᆞ고此와如히用心ᄒᆞ고눈抑何事를思量ᄒᆞ
[col 10] 야其修煉道士는曰
[col 11] 簡의不思底를思量ᄒᆞ어나不思底底를如何히思量
[col 12] ᄒᆞ랴非思量,是乃冥想의要術이라ᄒᆞ니라
[col 13] 以上은他家의所言을一言ᄒᆞ바에不外ᄒᆞ나吾敎에는
[col 14] 恒常四十九日新禱가有ᄒᆞ야默念의工夫에不意ᄒᆞᆯᄯᆡ實
[col 15] 로無上의修煉이라ᄒᆞ지라니然이나四十九日或은
[col 16] 百五日과如히積贖修煉ᄒᆞᆷ은是專門家에屬ᄒᆞᆫ者어니
[col 17] 와普通으로ᄂᆞᆫ何人이든지此를修ᄒᆞᆯ程度만치此를
[col 18] 應用ᄒᆞᆷ이可ᄒᆞ니
[col 19] 上略若l學校에在ᄒᆞᆫ靑年의書生일것갓ᄒᆞ면下宿屋
[col 20] 의一隅에在ᄒᆞᄂᆞᆫ室內를整히ᄒᆞ고一炷의香烟
[col 21] 夫를繼續ᄒᆞ면此에서實로超人間的大神力을得ᄒᆞᆯ것
[col 22] 音靜坐ᄒᆞ야보아라但恍然히靜坐ᄒᆞᆯᄯᆡᄂᆞᆫ妄念煩惱
[col 23] 가起ᄒᆞ야十分時도續치못ᄒᆞᆯ것인則何人이든지
[col 24] 公案이업지못ᄒᆞᆯ지라然이나自家에서所信ᄒᆞᆯ先哲
[col 25] ᄒᆞ기不能ᄒᆞ니宗敎家되기不能ᄒᆞ以上은此를專門으로實行
[col 26] 의며格言을案出ᄒᆞ야滿身의注意力을此에與ᄒᆞ고百方으
[col 27] 로工夫ᄒᆞ라云
[col 28] 朱子ㅣ일즉此等의語를發ᄒᆞ야曰「每日半日靜坐半日
[col 29] 讀書此를行ᄒᆞ지數年에大히長進ᄒᆞ리라ᄒᆞ고唐
[col 30] 彪ᄂᆞᆫ更히語를繼ᄒᆞ야曰「世人이終日讀書를一時
[col 31] 의坐를不知ᄒᆞ니이ᄂᆞᆫ讀書의益을知ᄒᆞ고靜坐의功
[col 32] 을不知ᄒᆞᄂᆞᆫ者라」云ᄒᆞ니라
[col 33] 世界所謂偉人은其超人間的大神力을大槪ㅣ此에서得
[col 34] ᄒᆞᆯ지니冥想의工夫를說치아니ᄒᆞᆯ者ㅣ殆稀ᄒᆞᆷ으로써證ᄒᆞ지면
[col 35] 冥想의工夫ᄂᆞᆫ吾敎에在ᄒᆞ야ᄂᆞᆫ默念의區區ᄒᆞᆫ方法을一括ᄒᆞ야써遂ㅣ大成ᄒᆞ者라
[col 36] 今에默念이라ᄒᆞᆷ은吾敎修煉의新方法으로古今以來一冥
[col 37] 想默念의區區ᄒᆞᆫ方法을一括ᄒᆞ야써遂ㅣ大成ᄒᆞ者라
[col 38] 人이든지吾敎에入ᄒᆞ야此默念의方法으로超人間的大神力을得ᄒᆞᆯ工
[col 39] 夫를繼續ᄒᆞ면此에서實로超人間的大神力을眞實ᄒᆞ者라何
