# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_6_p6.txt

[title] 敎門訂議
[col 02] ᄒᆞ니라過去年齡의多少는賴키不足ᄒᆞ니라못賴ᄒᆞᆯ만
[col 03] ᄒᆞᆫ은將來言年歲의多少卽此後의壽命의長短에在ᄒᆞ니
[col 04] 라
[col 05] 少老者라도반다시此後의壽命이長ᄒᆞ다限치못ᄒᆞᆯ것이
[col 06] 오同時에老老人이라도또此後의壽命이엇든少老
[col 07] 者보다短ᄒᆞ리라限畫者안이니라佛氏曰「老少不定」이
[col 08] 라ᄒᆞ니此一語ㅣ能히這間의消息을語ᄒᆞᆷ에足ᄒᆞ도다
[col 09] 果然老少는不定이니라壽를樂ᄒᆞ는點으로말ᄒᆞ면
[col 10] 老者도少老者와同히無限한希望을後에繫ᄒᆞ고시저로百
[col 11] 年의事業을遂行ᄒᆞ리라信ᄒᆞ야進치안임이不可ᄒᆞ니라
[col 12] 更히死를惡ᄒᆞ는點으로말ᄒᆞ면少者든지老者든지
[col 13] 何時에命이盡ᄒᆞᆯ는지計치못ᄒᆞᆷ을慮ᄒᆞ야大히用心ᄒᆞ는바
[col 14] 無치안이ᄒᆞ니能히此理를玩味ᄒᆞ면老少ㅣ大差가
[col 15] 無ᄒᆞᆷ을忘치勿ᄒᆞ라
[col 16] 老도健康ᄒᆞ면今後의壽命이多ᄒᆞ고少도健康치못ᄒᆞ
[col 17] 면通例今後의壽命이短ᄒᆞ니春秋ㅣ富ᄒᆞ다云ᄒᆞ며
[col 18] 老ㅣ少에短ᄒᆞ다云ᄒᆞᆷ은年齡의老少에拘言보다도單히
[col 19] 健康의强弱에拘ᄒᆞᆫ言葉이라ᄒᆞᆷ이可ᄒᆞ도다
[col 20] 元來年齡은追悔ᄒᆞᆯ지라도何等利益이無ᄒᆞ나니吾人
[col 21] 은다못健康을勉ᄒᆞ야此를保持ᄒᆞᆯ뿐却春秋의力은金錢
[col 22] 의富와如히幾分은自個의力으로增減ᄒᆞ를得ᄒᆞ리로
[col 23] 다
[col 24] 만일生涯를通ᄒᆞ야大한目的이有ᄒᆞᆫ人이念々不忘ᄒᆞ야
[col 25] 能히如常의目的에向ᄒᆞ야進步를得ᄒᆞ면一年의經過는一
[col 26] 年의前進이니라
[col 27] 諸君은云지勿ᄒᆞ라歲月의長流를歲月의長流는吾
[col 28] 人으로더욱神聖케ᄒᆞ며向上케ᄒᆞ며不滅케ᄒᆞ는神秘
[col 29] 的流波니라
[col 30] 大神師ㅣ恒常말씀ᄒᆞ샤대「나는長生ᄒᆞ리라또不
[col 31] 死ᄒᆞ리라」云ᄒᆞ심은吾人으로더욱取ᄒᆞ야忘치안일者ㅣ
[col 32] 안이냐然ᄒᆞ면大神師는무엇으로써長生不滅이라云ᄒᆞ셧
[col 33] 는가其는其의靈性의長生不死를가타침이안이냐看
[col 34] ᄒᆞ라神人의去後ㅣ어느덧六十年ㅣ神人의肉躰는비록風
[col 35] 馳電掣ᄒᆞ엿스나神人의精靈은吾輩信者의精靈과融合
[col 36] 一致ᄒᆞ야只今에도오히려우리信者를冥々의中에서指導ᄒᆞ
[col 37] 심이안인가
[col 38] 是點에서我는偉大ᄒᆞᆫ庚申을迎ᄒᆞ고獨히自喜自負ᄒᆞ
[col 39] 는바는만일大神師의靈性이不滅長生ᄒᆞᆫ다면吾人의靈
[col 40] 性도또한是理에不論ᄒᆞ지니但ㅣ吾人의覺ᄒᆞ는바는我로
[col 41] 써大神師의靈性을換ᄒᆞᆷ에在ᄒᆞᆯ뿐인뎌
