# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p3.txt

[title] 天道敎會月報
[col 02] 其欲求의必然量不忘ᄒᆞ는者
[col 03] 외二者로서能히其一面을模倣ᄒᆞ얏다思하리라
[col 04] 만일社會生活이其를組織한民衆의利益과幸福을造成한
[col 05] 者이며ᄯᅩᄒᆞᆫ其社會의利益과幸福을發見ᄒᆞ는
[col 06] 聰明과其實現ᄒᆞ는力量이有한者에無限ᄒᆞ야야用ᄒᆞ는名
[col 07] 辭라하면吾人의이른바哲人主義는性身雙全主義의哲
[col 08] 人이라할지니라ᄯᅩᄒᆞᆫ是等哲人이야말로現代敎化의建設
[col 09] 者이며知代道德의支配者가된다云하리라
[col 10] 事實上에一一한人類卽一一한民衆이라할지라도或
[col 11] 은其의先天的品賦로보던或은其修養上으로보던人人
[col 12] 에超越하며衆에特出ᄒᆞ야社會民衆에共通한利益과幸福을
[col 13] 發見ᄒᆞ는聰明과又其를實現ᄒᆞ는力量이有한者이면
[col 14] 多數의民衆은必不然으로此種의人物을信賴하고其信賴에依
[col 15] ᄒᆞ야社會一般의利益을圓得發達者ㅣ오
[col 16] 哲人이라ᄒᆞ는者를如斯히觀察하면社會에職業種類
[col 17] 의數가有한대로活動中心의數가有한대로各々其의
[col 18] 支配者ㅣ될만한哲人이업지안이不可하니例하면
[col 19] 學術文藝道德의支配者가有하며敎育에敎育의支配
[col 20] 數의支配者에最大支配者가되야世界思潮와갓치活動의
[col 21] 步를옴기지안이하면不可하도다
[col 22] 四
[col 23] 抑現代의支配者ㅣ될만한共通의特色은種々의形相
[col 24] 으로表顯될지나然이나其의根底에對ᄒᆞ야는人類가
[col 25] 自己의權威와欲望의價值를意識ᄒᆞ야옴에不過하다思하
[col 26] 노라그리하야人類가欲望의價值를意識ᄒᆞ야옴과自己
[col 27] 의權威를意識ᄒᆞ야오는것은人類가自己를開放ᄒᆞ는方
[col 28] 法을新히見出한必然의結果라할지라
[col 29] 原來ㅣ自己의解放이라함도其意味에서荒漠한條件
[col 30] 임과同時에其實行에도더욱朦朧한名辭와如히感想될
[col 31] 것이나然이나今日의人類思想은漸次其朦朧을披하야
[col 32] 明白한焦點을그리고잇스며荒漠을區劃하야漸次其界
[col 33] 域의線點을選擇ᄒᆞ는中이엿다自己라ᄒᆞ는者를個性の
[col 34] 中心으로보던延長하야一種族或은全世界社會를標準
[col 35] 하고彼我共存優劣共保主義에及하며그리하야
[col 36] 其解放이라함은政治的敎育的經濟的宗敎的
[col 37] 學術文藝道德的의表顯에表顯을努力하야거의다
