# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_5_p3u.txt

[section] 敎理部
[col 02] 看雲子면無量空間卵色天에或如狗如綿數
[col 03] 片이라가或如山如岳萬点ᄒᆞ며或如幅如幕
[col 04] 小張이라가如天如海大張ᄒᆞ야自由現自由
[col 05] 沒이莫可測也나究其所然이면蒸氣冷結의
[col 06] 原因이며蒸氣冷結은空氣寒熱의原因이며
[col 07] 空氣寒熱은熱線作用의原因에不過ᄒᆞ者니
[col 08] 以此溯究ᄒᆞ면自由之本原은天也오物與我
[col 09] 之自由活動은天의原動力이로다既曰自由
[col 10] 之本原은天이어니以天爲自由以物爲自由
[col 11] 之區別은何也오心의正邪의本原이며世는
[col 12] 善惡의根據라心循正則其自由也ㅣ天이오
[col 13] 心循邪則其自由也ㅣ物이며世多善則其自
[col 14] 由也ㅣ天이오世多惡則其自由也ㅣ物이니
[col 15] 其立身行道也에非天命而不動ᄒᆞ며非天命
[col 16] 而不靜ᄒᆞ며非天命而不喜不怒不哀不樂ᄒᆞ
[col 17] 야旣曰天命이면鳴毛一鄕의大判新丘可行
