# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_6_p6.txt

[title] 天道敎會月報
[col 02] 換言ᄒᆞ면彼等이社會의生活을營함에先天的本能에依ᄒᆞ야自然又는天然的支配에依함
[col 03] 으로써彼等은個體的自立自覺이無ᄒᆞ며個體的超越運動이업스되人類의社會生活은
[col 04] 此에反ᄒᆞ야先天的本能에依할뿐만아니라後天的個體性의自立自覺이有ᄒᆞ며個體的超
[col 05] 越運動이有함으로써能히萬物의靈長이되는所以로다
[col 06] 蓋人類의自立自覺卽自己解放이라함은實로重大한것이며且興味잇는問題니人類는
[col 07] 自己解放에依ᄒᆞ야人類의人類된價值가表顯되는것이라更言ᄒᆞ면人類는自己解放이進
[col 08] 步될사록其權威가發揮ᄒᆞ며其가退化할사록따라서其權威도低落ᄒᆞ는것이로다
[col 09] 然ᄒᆞ면自己解放이라함은무엇이냐吾人은其字義와갓치解釋ᄒᆞ야自己其者를解放ᄒᆞ
[col 10] 라云함이아니니卽自己의一切를解放ᄒᆞ야自主自立의道德的基礎에立ᄒᆞ라함이엇다
[col 11] 故로其意味가甚히廣漠ᄒᆞ야一切社會의修養者지波及할者이니吾人은此를詳論할餘暇
[col 12] 가無함으로玆에눈但히其의槪括的條件이되는一二를擧ᄒᆞ건대
[col 13] 一은衣食住의自主自立이니이는勿論肉體的方面으로觀觀한自己解放이라云할것이나
[col 14] 肉的運動은ᄯᅩ한스사로靈의觀念에波及ᄒᆞ는者인故로精神的自主自立이無한者는ᄯᅩ
[col 15] 한物質的自主自立을求치못하는것이라古語에曰天生萬民에必授其職이라함은蓋人
[col 16] 에게는先天的으로衣食住에對한品賦資格이有하다云함이라然함에不拘ᄒᆞ고世上에는衣
[col 17] 食住를스스로自營치못하고人에依ᄒᆞ야其를保存ᄒᆞ며其를享受코저ᄒᆞ는徒輩는實
