# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p3.txt

[title] 二、天道敎信仰의觀念及理想과사람性理의無窮
[col 02] 天道敎信仰을五款에標準ᄒᆞ엿음은다시말할것이업스며그리ᄒᆞ야五款은우리天道敎의理想的目的을達ᄒᆞ는
[col 03] 途程이엿다卽五款이라ᄒᆞ는길이업스면天道敎의理想과目的은鴻溝中間에둔彼岸과갓ᄒᆞ야到底히豫想의樂土
[col 04] 를達키不能할것이다그러나그所謂五款의實行이라는것은天道敎의理想的目的이强ᄒᆞᆷ에조차그의實行도ᄡᆞ라强
[col 05] 해질것이오弱ᄒᆞᆷ에ᄡᆞ라ᄗᅩ한弱ᄒᆞ야질것이엿다卽理想과目的의[?]의觀念이强치안이ᄒᆞᆷ에는비록五款實行이잇
[col 06] 다할지라도그는一時的에지내지안이할것이다一時로風潮에밀인信仰에지내지안이할것이다비록昨日에入敎
[col 07] ᄒᆞ엿고前時間에入敎ᄒᆞ엿다할지라도能히그天道敎에理想及目的을覺ᄒᆞ엿고又能히此를完信한다ᄒᆞ면그는實
[col 08] 力잇는天道敎人이라할것이오ᄗᅩ그러한天道敎人이야말로五款의實行이론々ᄒᆞ며將來信者의職分을完期한다할
[col 09] 지로다그러면天道敎를밋는者는반드시五款實行이잇음과同時에天道敎의理想及觀念이確實ᄒᆞ여야할것이엿다
[col 10] 그런데天道敎人의理想及目的의[?]의觀念은何이오그는대개우리敎理를밋는者는누구나알것이나그러나그順序
[col 11] 的組織的으로그를答辯ᄒᆞ는信者는少ᄒᆞ며설사多少間안다할지라도天道敎人全體가統一的「이러ᄒᆞ니라」고反
[col 12] 答ᄒᆞ기는難事일것임으로吾人은玆에天道敎信仰의觀念及理想을暫擧코저ᄒᆞ는바이다그런데吾人이이를答辯
[col 13] 的으로一言코저ᄒᆞ는바가吾人一個人意思에不外할넌지不知ᄒᆞ나그러나大體에至ᄒᆞ야는우리敎를밋는者는
[col 14] 누구의思想이든지此範圍에超越치안이ᄒᆞ리라思考ᄒᆞ노라
[col 15] 여러분중에萬若「이러한質問을바닷다ᄒᆞ면卽敎外同德이萬若우리敎人의게對ᄒᆞ야이러한反問을한다ᄒᆞ면卽
[col 16] 君은何故로天道敎를信ᄒᆞ느냐하고反問ᄒᆞ면여러분은이簡單한問에對ᄒᆞ야무엇이라對答함이可할가나는이에對ᄒᆞ
[col 17] 야直히
[title] 「한울되게爲ᄒᆞ야라」
[col 19] 고反答ᄒᆞ리라함은顯露치안이ᄒᆞ노라나는이簡單한々々마대가直히우리의理想과目的이되리라함을斷言ᄒᆞ노라엇
[col 20] 사람性의無窮을論ᄒᆞ노라
