# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p2u.txt

[section_running] 敎理部
[col 02] 然關係며社交的不可避의活性이로다
[col 03] 欲의大小를如何히區別ᄒᆞ고不可不動機의
[col 04] 正邪와結局의美惡을察ᄒᆞ지니究欲의發原
[col 05] 은心이오心은正邪合格이니萬理를交涉ᄒᆞ
[col 06] 時에心이正에入ᄒᆞ면是ᄂᆞᆫ無欲(卽大欲)이
[col 07] 니無欲이면淸明이在躬ᄒᆞ고淸明이在躬ᄒᆞ
[col 08] 면其知如神이니故로天下에不可知의理와
[col 09] 不可爲의事가無ᄒᆞ고心이邪에入ᄒᆞ면是ᄂᆞᆫ
[col 10] 有(卽小欲)이니有欲이면神感이昏濁ᄒᆞ고
[col 11] 이神感昏濁이면尸行肉走故로天下에可
[col 12] 知의理와可爲의事가亦無ᄒᆞ나라支那古德이
[col 13] 有言曰常無欲ᄒᆞ야以觀其妙ᄒᆞ고常有欲ᄒᆞ
[col 14] 야以觀其徼라ᄒᆞ니盖妙者ᄂᆞᆫ由無就有에萬
[col 15] 動之機也오徼者ᄂᆞᆫ自有入無에萬寂之抄也
[col 16] 라之二者異名同出에同謂之玄이니秘密藏
[col 17] 의眞素와事物界의現象이究其原則一也라
