# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_6_p6.txt

[title] 新紀元을劃한우리敎의新面目
[col 02] 다用에依ᄒᆞ야그効力의差異가잇음과갓치制度도또한死物이라萬若그人을不得ᄒᆞ면아무리至善制度일지라도
[col 03] 엉뚱한失敗를엇게되는것이오그와反對로비록不徹底한制度라할지라도그人을得ᄒᆞ면문득意外의成功을엇는
[col 04] 法이니吾人은상가그局에當한諸公이力을盡ᄒᆞ고勞를竭ᄒᆞ야써이新制度의徹底를期하기를바라며ᄡᆞ라셔三百
[col 05] 萬의兄弟가한가지로回歸一體의精神으로此新制度下에服從ᄒᆞ야諸々히善을實行하기를바라는바로라
[col 06] 元來人乃天이라ᄒᆞ는것은엇든意味에서多數의意思를服從ᄒᆞ라는內在的信仰으로볼슈잇나니吾人이잉이이
[col 07] 多數의意思로써이新制度를設定ᄒᆞ엿고又其多數의意思로그를贊成한以上은吾人은그들의多數意思에服從함
[col 08] 이이곳人乃天이며이곳同歸一體의心法이라할것이오又其多數의意思에體ᄒᆞ야自己의努力을盡함이더욱이人
[col 09] 乃天의人乃天이안이릭오
[col 10] 近年에우리朝鮮靑年으로ᄡᅥ海外留學의길을떠
[col 11] 나는이가만흔것은참깃거운中現代모든科學의
[col 12] 原産地라고도할만한獨逸에임의各學校의在學
[col 13] 中에잇는이만二十餘人에이르러이번에그네우리
[col 14] 留學生들은獨朝鮮學友會를組織ᄒᆞ얏다더라
