# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p3.txt

[title] 天道敎會月報
[col 02] 生命의展開가곳今日萬有의生命이되엿으며最高尙
[col 03] 한人類의生命々지오늘에이르럿다하는것이다
[col 04] 以上의말을다시明白히하기爲ᄒᆞ야吾人은곳처ㅣ宇宙組
[col 05] 織의原理로부터그端緖를다시順으로一言하고보면太
[col 06] 極哲學에이른바無極이生太極太極이生兩儀兩儀가生
[col 07] 四象四象이生八卦八卦가生萬物이라하는原理를匡한
[col 08] 進化論의原理에빗치워그符合點을發見할슈잇다하나니
[col 09] 學者의說에依하면宇宙의最初는한混沌體이엇섯는데그
[col 10] 로부터漸次星露가發生하엿으며星露로부터無數의星
[col 11] 體가發生케되는中一吾人의今日惠澤을밧고잇는이太
[col 12] 陽界도이여서生成한것이며그리하야地球는太陽界의
[col 13] 하나이며生物은地球로부터發生케되게된것이엇다
[col 14] 그리고人類의本來根本은地球에서始作된것이안이요
[col 15] 저一먼녯적의混沌界에始作하야伊來幾億々萬々年間
[col 16] 進化에進化를加하야今日이야겨우이마한形態를이
[col 17] 루게되엿으며이마한發達을보게된것이라그런데
[col 18] 宇宙는當初一엇지하야이러한進化의運動이잇섯슬가
[col 19] 畢竟은宇宙의大目的의運動이잇는々닭이라할지라
[col 20] 卽神은엇든大目的의究極을達키爲하야神自體가混沌
[col 21] 一切의生物生物로부터最高의人類에이르게된것이라할
[col 22] 지라그리고보면進化學上에잇어人類의位置는가장
[col 23] 놉흔程度의資格을가젓으며그리하야汎神觀的意味로
[col 24] 써一切萬物을보아온다하면人類는汎神觀上에가장놉
[col 25] 흔神의資格으로萬物의靈長이되며天地의主人公이
[col 26] 된다할지라
[col 27] 이에따라한가지생각할일은宇宙는永遠한進化를가
[col 28] 진活動體라하면宇宙의全體進化의品性을가장놉히發
[col 29] 揮한人類는아즉도이압날에無限한進化의餘地를가
[col 30] 지고잇을것이라이에對하야科學者「멧치니코」는人
[col 31] 類進化上不調和의點을擧하야여러가지로人類는아즉
[col 32] 進化前途가遼遠함을證明하엿는데그는일닛으되人類
[col 33] 는漸次下等動物로進化向上하는데에進化上아즉열어
[col 34] 가지不調和한點이잇다하고그를一々히敎授하엿섯다
[col 35] 이제그中에서두어가지例를드러보면이러하나니
[col 36] 第一은消化器의不調和니例하면盲腸과如함이곳그것
[col 37] 이라人類의腸에눈盲腸이라하는不用物이그대로남아
[col 38] 잇게때문에그에因하야여러가지病源이생기게된것이
[col 39] 라例하면盲腸炎과如한것이그것이라그런데人類의게
