# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_2_p2.txt

[section] 敎理部
[author] 李敦化
[col 03] 宇宙의間에는種種의現象이有ᄒᆞ니曰物理
[col 04] 的現象化學的現象日社會的現象日心理的
[col 05] 現象이라是等現象을硏究ᄒᆞᄂᆞᆫ學問을日今
[col 06] 日總稱社會上科學이라ᄒᆞᄂᆞ니是等科學은
[col 07] 泰西各國에셔前世紀로브터現世紀의至ᄒᆞ
[col 08] ᄂᆞᆫ長歲月을트ᄒᆞ야非常히發達ᄒᆞ야人類의
[col 09] 幸福은科學을離ᄒᆞ야一日이라도存在치못
[col 10] ᄒᆞᆫ다主論ᄒᆞᄂᆞ니果然現世紀의空氣를呼吸
[col 11] ᄒᆞᄂᆞᆫ者ᄂᆞᆫ科學의惠澤을蒙치아니ᄒᆞ엿다謂치
[col 12] 못ᄒᆞᆯ지로다然ᄒᆞ나現在及將來의無窮ᄒᆞᆫ宇
[col 13] 宙總現象에對ᄒᆞ야今日科學의力으로能히
[col 14] 解明ᄒᆞ며能히闡示치못ᄒᆞᆯ것은知者를不待
[col 15] ᄒᆞ고斷言ᄒᆞᆯ者이니라然ᄒᆞᆫ데今日靈通力이
[col 16] 란者ᄂᆞᆫ吾敎의修煉의三段最大難問이라其
[col 17] 理ᄂᆞᆫ科學上限界를超越ᄒᆞ야科學力으로能
[col 18] 히解明치못ᄒᆞᆯ者임으로써此靈的現象을聞
[col 19] ᄒᆞ고全然히無事實或은迷信의自惑이라排
[col 20] 斥ᄒᆞᄂᆞᆫ者比比皆有ᄒᆞ니故로兹에說明ᄒᆞ고寧히
[col 21] ᄇᆞᄂᆞᆫ理論上으로此를解明ᄒᆞ아니ᄒᆞ고寧히
[col 22] 科學上確明ᄒᆞᆫ事實에據ᄒᆞ야此를略說코자
[col 23] ᄒᆞ노라
[col 24] 靈通力은何者인고、靈通이라ᄒᆞᆷ은要解ᄒᆞ
[col 25] 면精神의非常現象이라
[col 26] 換言ᄒᆞ면卽心靈의通一作用이니心理上神
[col 27] 秘를發揮ᄒᆞᄂᆞᆫ潛勢力의發現이라此現象은
[col 28] 古今東西를勿論ᄒᆞ고累千百載之間의實用
[col 29] 에運ᄒᆞᆫ者其例가不少ᄒᆞ니卽佛儒仙及各敎
[col 30] 에依ᄒᆞ야槪論ᄒᆞ면如左ᄒᆞ니라
[col 31] 佛敎側에ᄂᆞᆫ六神通이有ᄒᆞ니
[col 32] [一]天眼通　肉眼以外의靈的眼을通ᄒᆞ야世
[col 33] 間苦樂의眞相을透見ᄒᆞ며塵界種種形形의
