# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_7_p7.txt

[section_running] 敎理部
[col 02] 라吾人類도今日光線의下에生活을營ᄒᆞᄂᆞᆫ
[col 03] 故로光線中物을見ᄒᆞ기爲ᄒᆞ야光線的肉眼을
[col 04] 要ᄒᆞ엿스나若光線이無ᄒᆞᆫ處에生存ᄒᆞᆫ다ᄒᆞ
[col 05] 면眼이無ᄒᆞ고도物을見ᄒᆞᆯ事有ᄒᆞᆷ은無理의
[col 06] 論이안이라ᄒᆞ노라
[col 07] 是等事實을見ᄒᆞ더리도人間의感覺은原始
[col 08] 時代에서何等組織이無ᄒᆞ엿스나生存의必
[col 09] 要에應ᄒᆞ야必要ᄒᆞᆫ部分뿐이發達ᄒᆞ야來ᄒᆞᆫ
[col 10] 事는益益明白ᄒᆞ며從ᄒᆞ야若人類가生存ᄒᆞᆫ
[col 11] 件의他에感覺이要ᄒᆞᆯ狀態가在ᄒᆞ면或은此
[col 12] 에必要ᄒᆞᆫ感覺이發達ᄒᆞ지도不知ᄒᆞᆯ지로
[col 13] 다果然ᄒᆞ면吾人은現在感覺以外無限에潛
[col 14] 感覺이有ᄒᆞᆫ事確實ᄒᆞ도다
[col 15] 感覺以外의靈感作用   考古學을見ᄒᆞ면歷
[col 16] 史前人類의腦髓ᄂᆞᆫ現今人類에比ᄒᆞ야非常
[col 17] 도缺如ᄒᆞ엿다云ᄒᆞ여슨則此를見ᄒᆞᆯ지라도
[col 18] 人類ᄂᆞᆫ次第進化ᄒᆞ야其形을具ᄒᆞᄂᆞᆫ時代에
[col 19] 尙且言語가無ᄒᆞᆫ事가無ᄒᆞ도다思컨딕此
[col 20] 時代의人類ᄂᆞᆫ他動物과如히亦是鳴聲의外
[col 21] 에何者를外發ᄒᆞᆯ事ㅣ不能ᄒᆞ얏ᄂᆞᆫ딕此時
[col 22] ᄂᆞᆫ其鳴聲이互相意志를通ᄒᆞᄂᆞᆫ唯一의符牒
[col 23] 이되얏도다或은其以前에在ᄒᆞᄂᆞᆫ顔만見
[col 24] ᄒᆞ면其意思를通知ᄒᆞ여쓸지도不知ᄒᆞᆯ지로
[col 25] 다然ᄒᆞᆫ데鳴聲을發ᄒᆞᆷ은唯表情에不過ᄒᆞᆷ으
[col 26] 로必要에應ᄒᆞ야次第發達ᄒᆞ야今日의言語
[col 27] 가되야쓰ᄂᆞᆫ지도不知ᄒᆞᆯ者아니라
[col 28] 思考ᄒᆞ면人類ᄂᆞᆫ或時代에言語를不用ᄒᆞ고
[col 29] 도他心을知ᄒᆞᄂᆞᆫ能力이生ᄒᆞᆯ지但吾人은
[col 30] 言語又ᄂᆞᆫ文章으로써其意思를傳ᄒᆞᆯ外에他
[col 31] 道理가無ᄒᆞᆷ으로人의顔을見ᄒᆞ고其意思ᄂᆞᆫ
