# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_1_p1.txt

[title] 靈性的生活
[author] 李敦化
[col 03] 靈性的生活은卽冥想的生活인딕宗敎的生
[col 04] 活과哲學的生活의半面은全히此에屬ᄒᆞ者
[col 05] 이니平居動靜의間에習境이醞釀ᄒᆞ야容感
[col 06] 이起ᄒᆞ며俗想이集ᄒᆞ면左顧右眄之間에爲
[col 07] 코져ᄒᆞ되爲키不能ᄒᆞ며行코져ᄒᆞ되行키不
[col 08] 能ᄒᆞᄂᆞᆫ徐然히想ᄒᆞ고靜然히考ᄒᆞᆯ時ᄂᆞᆫ吾人
[col 09] 은此에셔神籟의聲을聞ᄒᆞ노니身은明朗淨
[col 10] 几下에在ᄒᆞ되心은遠히白雲流水의間게遊
[col 11] ᄒᆞ야悠然히天地와同化ᄒᆞ야宇宙는手에在
[col 12] ᄒᆞ며萬化ᄂᆞᆫ身에生ᄒᆞᄂᆞᆫ快感이生ᄒᆞᄂᆞ니
[col 13] 恍히我一吾를忘ᄒᆞ고奇思妙想이忽然히起
[col 14] ᄒᆞ야殆히鬼神이來ᄒᆞ야風雨를忽迎의感이
[col 15] 不無ᄒᆞᄂᆞ니此가어ᄯᅵ靈性的生活의吾人의
