# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p3.txt

[section_running] 敎理部
[col 02] 說曰寂滅說의各種이有ᄒᆞ엿스며又其解說은實로天壤의
[col 03] 懸隔이有ᄒᆞ엿스나靜然히其內面을遡考ᄒᆞ야結局其歸着
[col 04] 點을解決ᄒᆞ면實로同一眞理를各方面으로模寫ᄒᆞᆫ者ㅣ됨
[col 05] 에不過ᄒᆞ도다假令天堂說과輪回說이其體裁가異ᄒᆞ고其
[col 06] 方式이異ᄒᆞ나善에善果가有ᄒᆞ고惡에惡報가有ᄒᆞ다ᄒᆞᆷ을
[col 07] 寓意로써模寫ᄒᆞᆫ바는同一ᄒᆞ고又其幽靈說과寂滅說이其
[col 08] 目的이相反ᄒᆞ고其解說이相背ᄒᆞ엿스나一은肉의滅亡을
[col 09] 意味ᄒᆞ고他눈靈의持續을想像ᄒᆞᆷ은同一ᄒᆞ도다如何든지
[col 10] 先哲의所敎ᄒᆞ死生觀을吾人이直接文意로解釋ᄒᆞᆷ은大課
[col 11] 解오但其高尙ᄒᆞ譬類로써太古純朴ᄒᆞ人民을敎化ᄒᆞᆷ에勢
[col 12] 力ᄒᆞ엿슴으로想像ᄒᆞ者이로다
[col 13] 然ᄒᆞ면先哲은何故로直接眞理의眞風光을發表치아니ᄒᆞ
[col 14] 고漠然히寓言으로써此를模寫ᄒᆞ엿는고其實은가其時
[col 15] 代의程度를適應ᄒᆞ엿슬ᄲᅮᆫ이니太古人으로果然今日發明
[col 16] ᄒᆞ學說을敎示ᄒᆞᆯ지라도其는小兒를敎ᄒᆞ야經典을學키ᄒᆞᆷ
[col 17] 과無異ᄒᆞ지로다
[col 18] 嗚呼라今은太陽이正午에萬陰이逃影이라今日의人心은
[col 19] 是等漠然ᄒᆞ寓語에滿足치아니ᄒᆞ고更히一屑其眞風光을
[col 20] 을橫斷ᄒᆞ고是非를劈破ᄒᆞ最後高見이라言처아니처못ᄒᆞᆯ
[col 21] 지니이제本問題의眞精神에入코저ᄒᆞ야먼저二三
[col 22] 哲理를論코저ᄒᆞ노라
[col 23] 一、社會的精神盖社會는人類의總數를擧ᄒᆞ야論ᄒᆞᆷ이
[col 24] 人類는到底社會를離ᄒᆞ야一日도生存키不能ᄒᆞ者인즉
[col 25] 論일진며그럼으로社會와個人은相轉相隨ᄒᆞ야發展進化
[col 26] ᄒᆞᄂᆞ니即社會는個性의發達을待ᄒᆞ야ㅡ日도向上ᄒᆞ고社
[col 27] 會總體의內面의關係를詳察ᄒᆞ時는一獨立的精神이有ᄒᆞ
[col 28] 야此가其時代一切活動을支配ᄒᆞᄂᆞᆫ바컨더吾人의身
[col 29] 體는無量數의細胞로組織되엿스며又其精神은此無量細
[col 30] 胞의精神이總合活動ᄒᆞᆷ과갓처社會는無量個性으로
[col 31] 組織ᄒᆞ者오從ᄒᆞ야社會의精神은無量個性의精神이融
[col 32] 化精煉ᄒᆞ야活動ᄒᆞᄂᆞᆫ바라所謂個性的精神의融化ᄒᆞᆷ은
[col 33] 但現在人生ᄲᅮᆫ아니오遠호過去에서지包含ᄒᆞ語니即過去에
[col 34] 百쳑千年의個性的精神은今日에도依然히此社會的
[col 35] 中에遊代ᄒᆞᄂᆞᆫ바라吾人이今日의發展과今日의結果가有
[col 36] ᄒᆞᄂᆞᆫ바는實로此社會的精神이活ᄒᆞ야잇슴이나
[col 37] 社會精神은無規則融化ᄒᆞ者ㅣ아니오各自一定의順路가
