# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_1_p1.txt

[title] 사람性의無窮을論ᄒᆞ노라
[author] 李敦化
[col 03] 우리의中에아즉도人乃天에對ᄒᆞᆫ疑雲이未霽ᄒᆞᆫ者ㅣ잇다ᄒᆞ면吾人은다시一言으로써吾人의胸中에梗塞ᄒᆞᆫ塊
[col 04] 積을解剖ᄒᆞᆯ必要가잇다ᄒᆞ노라
[col 05] 이제單刀直入으로吾人의因襲中에橫在ᄒᆞᆫ人과神의區別을把握以來ᄒᆞ면우리가神과人을不得不區別치안이치
[col 06] 못ᄒᆞ리라ᄒᆞ는所以然은左의幾條에在ᄒᆞ다ᄒᆞ리라
[col 07] 一、神은全知全能인데人은其然치못ᄒᆞ다信ᄒᆞ는觀念이오
[col 08] 二、神은不生不滅인데人은其然치못ᄒᆞ다信ᄒᆞ는觀念이오
[col 09] 三、神은、仁、愛、慈悲、公平、等모든美德이圓滿ᄒᆞᆫ者인데人은其然치못ᄒᆞ다信ᄒᆞ는觀念이라
[col 10] 大概ㅣ神과人을區別觀ᄒᆞ는人의觀念에는以上의三條가特히其重要ᄒᆞᆫ部分이라ᄒᆞᆯ지라勿論神과人의區別点을
[col 11] 種々細分ᄒᆞ면細分ᄒᆞᆯ수록更히幾多의區別觀念을得ᄒᆞᆯ수잇도다然이나그는但히枝葉의問題에涉ᄒᆞᆫ者뿐이오大
[col 12] 體는以上三者에概括함을可得ᄒᆞ리라ᄒᆞ노라
[col 13] 第一吾人이神으로全知全能이라信케되는所以는神으로써全宇宙의創造者라信ᄒᆞ는觀念에서出ᄒᆞᆫ所以라ᄒᆞᆯ지라
[col 14] 사람性의無窮을論ᄒᆞ노라
