# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_1_p1.txt

[title] 우리時代의創造事業
[col 02] (目下의急先務를提案ᄒᆞᆷ)
[author] 李敦化
[col 04] 一、創造的人物
[col 05] 다갓흔人物이로되그다갓흔人物들이그各自의人
[col 06] 格을完全히發揮ᄒᆞ며否合에말미어네가지의區別이있
[col 07] ᄂᆞ니
[col 08] 첫째는아모弊瘼도모르며아모改訂의手
[col 09] 段도업ᄂᆞᆫ者의무리며
[col 10] 둘째는能히由來의弊瘼을알고그를근심
[col 11] ᄒᆞᄂᆞᆫ무리들이며
[col 12] 셋째는能히社會의弊瘼을알뿐만아니라
[col 13] 나아가그弊瘼을곳칠만한者이며
[col 14] 넷째는能히그弊瘼을알고그弊瘼을곳칠
[col 15] 뿐만아니라나아가創造의力으로써모
[col 16] 든것을建設ᄒᆞᄂᆞᆫ者가그것이라
[col 17] 이네가지의사람은엇더한時代엇더한社會를勿論
[col 18] ᄒᆞ고반듯이섯겨잇ᄂᆞᆫ法이며그리ᄒᆞ야그時代그社會
[col 19] 의大部分의數量을가진者는첫째둘째의사람이가
[col 20] 장만흐며셋째의사람이그次이오넷째의사람은
[col 21] 甚히稀罕ᄒᆞ나니그럼으로모든社會의되야가는中心
[col 22] 要樞는넷째의사람이만흐며적음에依支ᄒᆞ야써그
[col 23] 社會의發展이빠르며더딘差別이생기게되는法이엿다
[col 24] 元來一貫理라는것은恒常進化無窮ᄒᆞ야가는것이며따
[col 25] 려서그眞理로부터發生ᄒᆞ는事理도또한變遷無常ᄒᆞ나니
[col 26] 그럼으로엇더한事理가엇더한그時代에처음으로發
