# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p3.txt

[title] 우리時代創造의事業
[author] 奉訓金亨贊贊
[col 03] 이네가지의部分的創造事業中에以上세가지는이미
[col 04] 過去에屬한것이오今日以後의創造事業은直接우리
[col 05] 들의손수로서建設할모든것이되야잇나니이제우리敎
[col 06] 에서由來ᄒᆞ야온創造事業中에大槪를드러보면第一
[col 07] 大神師의創造事業은全世界幾萬年의歷史的弊痼를看
[col 08] 破ᄒᆞ고그를改造ᄒᆞ며又建設
[col 09] ᄒᆞᆫ人乃天의大宗敎이니大神師는
[col 10] 이世界的의우에先天國을建設케爲
[col 11] ᄒᆞ야人乃天의原理를創造ᄒᆞ시
[col 12] 며그리ᄒᆞ야그를實現키爲ᄒᆞ여
[col 13] 는呪文을創造ᄒᆞ시며誠命을創
[col 14] 造ᄒᆞ시며心告法을創造ᄒᆞ시며
[col 15] 體ᄒᆞ야는모든敎理를創造ᄒᆞ셧나
[col 16] 니이거룩ᄒᆞᆫ創造의力에依ᄒᆞ야
[col 17] 우리朝鮮에는모든創造의端緖가
[col 18] 열엿으며盛ᄒᆞᆫ全世界的의創造力이이로부터開幕이된것
[col 19] 이엿다다음海月神師는大神師의心法을받드사向我
[col 20] 設位法을創造ᄒᆞ시며內修道法을創造ᄒᆞ시며그리ᄒᆞ
[col 21] 야六任制度呪文의刊行接의設置祈禱方式의改造
[col 22] 魚肉의解禁便義長大帽制度의設置甲午改革の大雄
[col 23] 斷等의모든創造의事業이쉬지안코잇셧으며進ᄒᆞ야
[col 24] 義菴聖師는時代의新覺性으로一般敎化를時代化로
[col 25] ᄒᆞ시며五款制度를設置ᄒᆞ시며敎區制度를設置ᄒᆞ시
[col 26] 며新敎育을奬勵ᄒᆞ시며甲辰改革을斷行ᄒᆞ시며其
[col 27] 他敎書의修正敎說의創造等모든創造의事業을一々
[col 28] 히收擧키難ᄒᆞ나니그럼으로
[col 29] 우리敎의六十年活動은하로
[col 30] 도쉰일업시힘잇는創造의
[col 31] 力으로써날々이改造와整頓
[col 32] 으로써建設事業에着手ᄒᆞ
[col 33] 야셧다이럿트우리敎의創造의
[col 34] 原動力은大神師로써爲始ᄒᆞ야
[col 35] 海月神師에傳ᄒᆞ엿으며海月
[col 36] 神師로부터義菴聖師에게傳ᄒᆞ
[col 37] 엿으며義菴聖師로부터更히우
[col 38] 리들의게傳하게되엿나니그럼으로今日以後의우리
[col 39] 敎의創造事業은우리들의雙肩의우에잇으며우리들의
[col 40] 方寸의理에서忖度할뿐이엿다다시말하면今日以後
[col 41] 우리敎의事業은우리들의用心如何와處斷如何와更
[col 42] 新如何에依ᄒᆞ야모든建設의새길이새로히展開될것
