# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p2u.txt

[section] 雜俎
[col 02] 跡之事로導我ᄒᆞᄂᆞ니可不懼哉아萬事ᄂᆞᆫ皆虛ᄒᆞ되唯心
[col 03] 이實ᄒᆞ며萬法이皆空ᄒᆞ되唯心이眞ᄒᆞ니勿以花笑鳥啼
[col 04] 로爲美ᄒᆞ며亦勿以水遊雲空으로爲悲ᄒᆞ라心者ᄂᆞᆫ平等
[col 05] 이오物者ᄂᆞᆫ差別이라以平等觀差別이면差別亦平等
[col 06] 으로以差別觀平等이면平等亦差別이니修道要諦가殆不
[col 07] 外於此로다我曾疑於古聖者多ᄒᆞ니以簞食瓢飮爲樂ᄒᆞ
[col 08] 여以曲肱枕之爲樂者是也니라彼聖賢者도亦人也어ᄂᆞᆯ奈
[col 09] 之何以不人之樂으로爲樂고是盖有別種樂而慰其心者
[col 10] 也니所謂別種樂者ᄂᆞᆫ非普通人之莫何窺運者也니是乃
[col 11] 非以物爲樂而以心爲樂者猷아以物而樂者ᄂᆞᆫ物來則喜
[col 12] ᄒᆞ고物去則悲ᄒᆞ니故로其胷은險夷가不滯於中ᄒᆞ며其腦
[col 13] ᄂᆞᆫ哀樂이不交於心이라故로其罰은光風霽月焉ᄒᆞ며其行은風馳
[col 14] ᄂᆞᆫ松韵溪聲焉ᄒᆞ며其手ᄂᆞᆫ天風海濤焉ᄒᆞ며其行은風馳
[col 15] 電掣焉ᄒᆞ니
[col 16] 孔子得之而爲孔子ᄒᆞ고佛子得之而爲佛子로다然而吾
[col 17] 敎ᄂᆞᆫ有大於是者ᄒᆞ니以樂之道樂之ᄒᆞ며以物樂之道
[col 18] 樂之ᄒᆞ야泰然自由ᄒᆞ야不以心磊不以物磊ᄂᆞᆫ吾敎之極
[col 19] 樂也로다
