# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_2_p1l.txt

[title] 祖
[col 02] 行一事ᄒᆞ야는決未承諾이오니子其思之어다於是에呼智
[col 03] 靈而聽之ᄒᆞ니曰死後一事는妾亦不認이오노라然而子死
[col 04] 後에爲子而省墓ᄒᆞ고爲子而祝祭之호리라不得已呼其
[col 05] 如此ᄒᆞ니眞如日諾ᄒᆞ다不啻同伴而已矣라子之平素에有所
[col 06] 敬之訓ᄒᆞ니子之死後에以子之所敬으로導子ᄒᆞ며以子之
[col 07] 所訓으로保守ᄒᆞ리니子其安心이어다蓋以四人之妻로
[col 08] 警於人生常事인바第一은金錢이니金錢者는薄情也라有
[col 09] 病之日에閉門而去ᄒᆞᄂᆞ니難信者此也오二는家屋이니
[col 10] 家屋者는難離者也라故로至死之日은爲他人之所有必
[col 11] 也오三은親族이니親族者는善導者也라故로開親族之
[col 12] 謀者는無失敗나至於同死ᄒᆞ야는未可爲也로다四日心
[col 13] 이니心者는我之最愛最親之愛妻也라我生以前에旣爲
[col 14] 我爲我之素고我死以後에亦爲我欲我之種ᄒᆞᄂᆞ니心
[col 15] 之於我에惟一無二之親者로다然而心者는以我之所欲
[col 16] 으로導我ᄒᆞᄂᆞ니我於平素에以禽獸之事로敎心者는心亦以
[col 17] 聖賢之事로導我ᄒᆞ고以盜跖之事로敎心者는心亦以盜
[col 18] 美色而
[col 19] 特有
[col 20] 에無失
[col 21] 其性아
[col 22] 人生之一線
[col 23] 者는彼
[col 24] 君之於
[col 25] 玉之言
[col 26] 曰我面
[col 27] 下之鬼
[col 28] 니我從
[col 29] ᄒᆞ리니
[col 30] 此後四日
[col 31] 에至同
