# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_5_p3u.txt

[section_running] 언문부
[col 02] 이아닌가우리교의죵지가사람이한울
[col 03] 이라ᄒᆞ는것도이리치에지나지아니ᄒᆞ니
[col 04] 곳님의졍신은디우듀디삼쳔셰계의졍
[col 05] 신과호가지졍신이라만일님졍신을싸
[col 06] 로셰여쓰지말고우듀만믈의졍신과합
[col 07] ᄒᆞ야응용ᄒᆞ면그사람은즉ᄒᆞ울이니그
[col 08] 런고로디신사눈사람이아니오곳한울
[col 09] 이며ᄒᆡ월신사는사람이아니오곳ᄒᆞ셧
[col 10] 이며셩사ᄂᆞᆫ사람이아니오곳한울이시
[col 11] 니한울의졍신을디신사가쓰시고디신
[col 12] 사의졍신을ᄒᆡ월신사가쓰시고ᄒᆡ월신
[col 13] 사의졍신을우리셩사ᄭᅴ셔쓰시ᄂᆞᆫ바라
[col 14] 고로우리가만일셩사의심법을바다ᄒᆞ
[col 15] 갈갓치ᄶᅩᆺ차나아가면우리도ᄯᅩᄒᆞᆫ한울
[col 16] 이될것이니라그런디우리가도를닥가
[col 17] 나아가다가[?]가한울이되얏ᄂᆞᆫ가아즉
