# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_13_p7u.txt

[title] 敎門訂義
[col 02] 예制異ᄒᆞᆷ에至ᄒᆞᆫ者니世人은此表面과及其終局을觀察
[col 03] ᄒᆞ고輕々히聖人과英雄을判斷ᄒᆞ야先天的區別이有ᄒᆞ
[col 04] 과如히思唯ᄒᆞ도다其實例ᄂᆞᆫ政治와宗敎가야즉區分되
[col 05] 지아니ᄒᆞ古代人을觀ᄒᆞ면金々判明ᄒᆞᆫ者니支那에서所
[col 06] 謂聖人이라稱ᄒᆞᄂᆞᆫ禹湯文武의事業으로觀ᄒᆞ니他一面
[col 07] 湯文武ᄂᆞᆫ英雄이라英雄이오聖人이라ᄒᆞ면聖人일지니
[col 08] 에서聖人이라ᄒᆞᆯ지며他一面에서英雄이라ᄒᆞᆯ지라即禹
[col 09] 그네들도今日과如히宗敎와政治가確實히區別된時代
[col 10] 에生ᄒᆞ야스면時代의形便과精神的嗜娛를隨ᄒᆞ야純粹
[col 11] ᄒᆞᆫ英雄의路로入ᄒᆞ지아니ᄒᆞ야스면純粹ᄒᆞᆫ宗敎의路로入
[col 12] ᄒᆞ야슬것이라是點에서聖人과英雄은同一人格의兩側
[col 13] 面된이確然ᄒᆞ도다此를不拘ᄒᆞ고聖人과英雄을一人格
[col 14] 의兩側面點을各側面의一方싼因襲의眼目으로主觀ᄒᆞ
[col 15] 고此를先天的區別이有ᄒᆞᆷ과如히思唯ᄒᆞᆷ은畢境自己
[col 16] 擔着에不過ᄒᆞ도다
[col 17] 以上에逃ᄒᆞᆷ과如히大宇宙ᄂᆞᆫ반다시進化로써其原則이
[col 18] 되며進化에ᄂᆞᆫ時代와時代의連鎖點이有ᄒᆞ며其連鎖點
[col 19] 에ᄂᆞᆫ반다시思想的波瀾이有ᄒᆞ며其波瀾의主原因은破
[col 20] 懷와建築의衝突이有ᄒᆞ며衝突에ᄂᆞᆫ반다시因襲的慣習
