# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_13_p7u.txt

[title] 敎門訂義
[col 02] 에判異宮에至ᄒᆞ야者니世人은此表面과及其終局을觀察
[col 03] ᄒᆞ고輕々히聖人과英雄을判斷ᄒᆞ야先天的區別이有宮
[col 04] 과如히思惟ᄒᆞ도다其實例는政治와宗敎가아즉區分되
[col 05] 지아니ᄒᆞᆫ古古代人을觀ᄒᆞ면益々判明ᄒᆞᆯ者니支那에서所
[col 06] 謂聖人이라稱ᄒᆞᆫ者는禹湯文武의事業으로觀ᄒᆞ면其一面
[col 07] 에서聖人이라ᄒᆞᆯ지며他一面에서英雄이라할지라卽禹
[col 08] 湯文武는英雄이라면英雄이오聖人이라면聖人일지니
[col 09] 그네들도今日과如히宗敎와政治가確實히區別된時代
[col 10] 에生ᄒᆞ야스면時代의形便과精神的嗜好를隨ᄒᆞ야純粹
[col 11] ᄒᆞᆫ英雄의路로入치아니ᄒᆞ야스면純粹ᄒᆞᆫ宗敎의路로入
[col 12] ᄒᆞ야슬것이라是點에서聖人과英雄은同一人格의兩側
[col 13] 面됨이確然ᄒᆞ도다此를不拘ᄒᆞ고聖人과英雄을一人格
[col 14] 의兩側面點을各側面의一方만因襲의眼目으로主觀ᄒᆞ
[col 15] 고此를先天的區別이有宮과如히思惟宮은是畢竟自己
[col 16] 撞着에不過ᄒᆞ도다
[col 17] 以上에述べ宮과如히大宇宙는반다시進化ᄒᆞ며其原則이
[col 18] 되며進化에時代와時代의連鎖點이有ᄒᆞ며其連鎖點
[col 19] 에눈반다시思想的波瀾이有ᄒᆞ며其波瀾의主原因은破
[col 20] 壞와建築의衝突이有ᄒᆞ며衝突에눈반다시因襲的慣習
