# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_9_p5u.txt

[title] 敎門訂議
[col 02] 失盛衰成敗利害等이變化를對홀時마다我慢을去ᄒᆞ며我
[col 03] 慢을藥ᄒᆞ고公平ᄒᆞ雅量으로써此에對ᄒᆞᆷ이可ᄒᆞ도다
[col 04] 四、天人合一의極致的修養、以上에逃ᄒᆞ과如히人이世
[col 05] 에處ᄒᆞ눈道눈先히愛著에離ᄒᆞ야無常을憹倂像을
[col 06] 破ᄒᆞ야正見을得ᄒᆞ며雅量을用ᄒᆞ야安分知足을得ᄒᆞ지
[col 07] 니然ᄒᆞ면吾人은一日이라도實로世界에在ᄒᆞ야能히蓬萊
[col 08] 에遊ᄒᆞ눈快樂을得ᄒᆞᆯ지로다然이나是눈아직消極的인慰
[col 09] 安方法에不過ᄒᆞ니人若一實로透徹ᄒᆞ修養을要코ᄌᆞᄒᆞ면
[col 10] 以上의三過程으로꼿히終에吾敎의天人合一의境限에入
[col 11] 처아니ᄒᆞᆷ이不可ᄒᆞ도다
[col 12] 天人合一이라ᄒᆞᆷ은人의小훈精神이天의大精神과符合ᄒᆞᆷ
[col 13] 을意味ᄒᆞᆷ이니元來人은小分天이라故로人은修養에依
[col 14] ᄒᆞ야能히法身의活動으로써大千世界에干涉케ᄒᆞ리라吾
[col 15] 人은吾人의體로써一毛의刺戟과一髮의運動도能히
[col 16] 體ᄒᆞ야此를制裁ᄒᆞ며防禦ᄒᆞ나니此도吾人의體內에一片
[col 17] 小分天이鎖宿ᄒᆞᆫ故로此天이能히身金體干涉ᄒᆞᆷ으로
[col 18] 다此理에由ᄒᆞ야吾天이能히大天에融合一致ᄒᆞ면天地宇
[col 19] 宙가即히其人의全體가되나니其人의精神은三千玉
[col 20] 機의裡에歸宿ᄒᆞ며同時에億万纖芥의中에活躍ᄒᆞ야一切
