# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p2u.txt

[title] 敎門訂議
[col 02] 度、乃至佛對耶者態度가滔々皆然ㅎㆍ니是ㅣ實로自家
[col 03] 揣着에不過ㅎㆍㄴ者是故에一人의老婆가有ㅎㆍ야其가木石을
[col 04] 信喜에依ㅎㆍ야其물不信ㅎㆍ니보다도或은他物을信ㅎㆍ니보
[col 05] 다도彼의生活이一層善히統一되여一層多大ㅎㆍㄴ慰安을得
[col 06] ㅎㆍ엿다ㅎㆍ면其老婆에對ㅎㆍ야는木石의信仰이最眞正、最
[col 07] 權威의信仰일지라局外者로觀ㅎㆍ면此와如ㅎㆍㄴ迷信이更
[col 08] 無ㅎㆍ지니나其老婆에對ㅎㆍ야는唯一眞正의信仰일지라何者
[col 09] 오老婆가木石의信仰으로奇特한功德과有益의慰安을得
[col 10] ㅎㆍ야彼의經驗을組織ㅎㆍ여彼의生活을統一ㅎㆍ는故로老婆
[col 11] 對木石之信仰은直히彼의宇宙觀及人生觀을構成ㅎㆍ는重
[col 12] 大ㅎㆍㄴ要素가됨으람따
[col 13] 若一此老婆의心理로치히木石에對ㅎㆍㄴ彼의信仰力을取去
[col 14] ㅎㆍ면彼의宇宙觀及人生觀이란者는大ㅎㆍㄴ變化를受ㅎㆍㅁ뿐아
[col 15] 니라或은全히破壞될者아닌가
[col 16] 以上은各種信仰의價値의批判은何時든지當人의活動及
[col 17] 興味를本位로定치안니면不可ㅎㆍㄴ所以를暫述ㅎㆍ엿도다然
[col 18] ㅎㆍ면大體上으로正信迷信의區別은全然不成文이랴ㅎㆍ가
[col 19] 反問ㅎㆍ면是는決코不然ㅎㆍ니雖然不然이라云ㅎㆍ지라도亦是
[col 20] 此兩者의批判은實際的活動及興味以外에別로思
