# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_5_p3u.txt

[title] 敎門訂議
[col 02] 龍潭의甘露를吸收ᄒᆞᆫ者ㅣ誰가吾敎의精神이人乃天임을忘却ᄒᆞ야스랴然이나知ᄒᆞᆷ은行ᄒᆞ고行ᄒᆞᆷ은樂ᄒᆞ
[col 03] 만不如ᄒᆞ고樂ᄒᆞᆷ은實行ᄒᆞ고不如ᄒᆞ고樂ᄒᆞᆷ은樂ᄒᆞ者ㅣ何處에有ᄒᆞ리오만은此를實行ᄒᆞᄂᆞᆫ者ㅣ亦幾人이되랴是聖師의日
[col 04] 며實行ᄒᆞ야又此를樂ᄒᆞᄂᆞᆫ者ㅣ亦幾人이되랴是聖師의日로勞心ᄒᆞᄂᆞᆫ바이며吾敎의大德業이遲延ᄒᆞ며愛를懷치안
[col 05] 이치못ᄒᆞᆷ에至ᄒᆞᄂᆞᆫ所以가안인가
[col 06] 更히煩說과如ᄒᆞ지만은三世神聖이如何히人乃天을骨信ᄒᆞ엿ᄂᆞ가此를一言ᄒᆞ야吾人의反省을促코저ᄒᆞ노라
[col 07] 昔에大神師ㅣ大覺ᄒᆞ신後ㅣ其覺ᄒᆞᆫ바眞理를卽히各種의經典에發表ᄒᆞ섯ᄂᆞᆫ뒤雖或節이異ᄒᆞ고章이殊ᄒᆞ지라도
[col 08] 經典에散在ᄒᆞᆫ言辭句々가모다人乃天三字를講述ᄒᆞᆷ에不로大神師의著述ᄒᆞᆫ經傳은一個人乃天三字를講述ᄒᆞᆷ에不
[col 09] 過ᄒᆞ者로看做ᄒᆞ야도過言이안이로다爲先東經大全天師問答에上帝가有ᄒᆞ고神師가有ᄒᆞ야互相大道를授受ᄒᆞᆷ과
[col 10] 如히組織되얏스나深히其意義와其體裁를詳考ᄒᆞ면一人의大神師가上帝도되며人도되야大宇宙의大法則을講述
[col 11] ᄒᆞᆫ바明白ᄒᆞ니故로布德文에ᄂᆞᆫ「有何仙語忽入耳中」이
[col 12] 라劈頭로道破ᄒᆞ시고論學文에至ᄒᆞ야ᄂᆞᆫ「外有接靈之氣
