# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_1_p1u.txt

[title] 信仰性과社會性
[author] 敎門訂議
[col 03] 이에動ᄒᆞ는者란姑置ᄒᆞ고不動ᄒᆞ는者란更
[col 04] 히一步를引進ᄒᆞ야鳶飛魚躍의活活自得風
[col 05] 淸月朗의悠悠自適、雲鴻雪鶴의落落自高、
[col 06] 泰山喬岳의嶽嶽自重의天地에置ᄒᆞ야보아
[col 07] 도動ᄒᆞ는者란또姑置ᄒᆞ고不動ᄒᆞ는者란
[col 08] 反히最苦의地에置ᄒᆞ야볼지어다是에도不
[col 09] 一、人類는何故로萬物의靈長이되엿나
[col 10] 人類도亦是萬物中一員으로宇宙間自然物에不過ᄒᆞ니라
[col 11] 萬物로더부러共히消長ᄒᆞ며自然으로더부러共히盛衰ᄒᆞ는
[col 12] 常一萬物이며라ᄒᆞ리라然이나人類는自信의點에서恒
[col 13] 常宇宙의主人公이라며天地의獨步者라自覡ᄒᆞ도다
[col 14] 疑懼惟否라된사람이點에서果然主人일만ᄒᆞᆫ資格이有ᄒᆞ며又何點
[col 15] 에서能히獨步될만ᄒᆞᆫ實力이有ᄒᆞ냐此意思마라萬物은皆
[col 16] 本能이타稱ᄒᆞ는先天의優良이有ᄒᆞ야此優良으로써能히
