# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p2u.txt

[section] 敎理
[col 02] 體의方面에서石器時代가有ᄒᆞ며牧畜時代가有ᄒᆞ며農業
[col 03] 時代가有ᄒᆞ며商工時代가有ᄒᆞ며精神의方面에서無爲時
[col 04] 代와多神時代와一神時代와汎神的調和時代가有ᄒᆞ야沼
[col 05] ᄋᆞ無盡ᄒᆞᆫ人類의發達進化를瞭然히指掌의間에摘點ᄒᆞᆫ者
[col 06] 多ᄒᆞ도다
[col 07] 蓋宇宙ᄂᆞᆫ因々果々의金綱經이라因은果를造ᄒᆞ며果ᄂᆞᆫ
[col 08] 因을造ᄒᆞ야繰返又繰返ᄒᆞᄂᆞᆫ間에進化의法則이玆에生
[col 09] ᄒᆞ니進化ᄂᆞᆫ實로萬有史論이며同時에宇宙史論이라그
[col 10] 리ᄒᆞ야人은萬有史論의眞寫者며宇宙史論의主人公이니
[col 11] 結局人類의發達은萬有의發達을證明ᄒᆞᄂᆞᆫ것이며
[col 12] 宇宙의發展을保證ᄒᆞᄂᆞᆫ것이라
[col 13] 今에此宇宙의因果的大律되ᄂᆞᆫ進化를根據로ᄒᆞ고此兩性
[col 14] 에如何ᄒᆞᆫ現象下에서發展ᄒᆞᄂᆞᆫ가一考ᄒᆞᆯ必要가有ᄒᆞ도다
[col 15] 甲、由來信仰性과現代信仰性의矛盾
[col 16] 旣히先天的이라ᄒᆞ면其性質上에서決코一定不變ᄒᆞ지나
[col 17] 然이나其性質을作用ᄒᆞᄂᆞᆫ方式과其方式을運用ᄒᆞᄂᆞᆫ條件
[col 18] 에至ᄒᆞ야ᄂᆞᆫ屢々時代를隨ᄒᆞ야變遷치아니치못ᄒᆞᄂᆞ니信
[col 19] 仰性도亦是此法則의軌道에脫線치못ᄒᆞᆯ지라卽信仰其者
[col 20] 의體ᄂᆞᆫ古今이無異ᄒᆞᆯ지나信仰其者의對象과方式과運用
[col 21] 은進化의法則에從ᄒᆞ야進步不已ᄒᆞᆯ지라蓋人類ᄇᆞᆯ般의活
