# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_11_p6u.txt

[title] 敎門訂議
[col 02] 即世界新思想의曙光으로東西各地에心
[col 03] 靈硏究가勃興ᄒᆞ야新信仰의基礎인個性
[col 04] 中心의上에求코저ᄒᆞᆷ은各種의思想階級
[col 05] 을通ᄒᆞ야一般的象徵이엿더라於是에其
[col 06] 들은是我宗敎라云ᄒᆞ고各自觀念下에心
[col 07] 靈의偉大ᄒᆞᆫ勢力을確證홈에至ᄒᆞ야天堂
[col 08] 과極樂을식로히自我의靈性範圍內에서
[col 09] 覺ᄒᆞᆯ만ᄒᆞᆫ機會에達著ᄒᆞ엿도다
[col 10] 以上은大概一世界에對ᄒᆞᆫ舊信仰의衰頹
[col 11] 와新信仰의勃興을一筆로槪括ᄒᆞᆫ바가外아
[col 12] 니나蓋此等의風潮와思想界의大海嘯歷來
[col 13] ᄒᆞᆷ은是ㅣ將次大ᄒᆞᆫ宗敎가開闢의新運命
[col 14] 을帶ᄒᆞ고此地球의上에出來ᄒᆞᆯ神秘의大
[col 15] 原因이라ᄒᆞ지못ᄒᆞᆯ다
[col 16] 吾敎元祖一大神師一大覺의際에天籟의
[col 17] 神音을吐ᄒᆞ야曰「開闢以後一五萬年에
[col 18] 勞而無功ᄒᆞ다가서너를만다成功ᄒᆞ리니
