# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_17_p9u.txt

[title] 默念과倫理
[col 02] 의波有限相對의現象은本來부터無限絶
[col 03] 對에不外ᄒᆞᆫ者ㅣ아니냐是故近世哲學에
[col 04] 서는現象卽實在論이라云ᄒᆞ도다此理로
[col 05] 써我의心理에應用ᄒᆞ고보라有限ᄒᆞᆫ
[col 06] 야小ᄒᆞᆫ我의心도差別의感을去ᄒᆞ며我
[col 07] 他彼此의別을除ᄒᆞ고보면風死波平ᄒᆞ고
[col 08] 긋치此心은宇宙의大精神과相合ᄒᆞ야
[col 09] 圓融無事ㅣ大虛와如ᄒᆞ야無缺無餘에至ᄒᆞᆯ
[col 10] 지라此宇宙의大精神을吾人은神이라
[col 11] 呼稱ᄒᆞ지면吾人은此理에由ᄒᆞ야神人合一
[col 12] 이될지며此大精神을大性이라ᄒᆞ면吾
[col 13] 人은此理에由ᄒᆞ야大性의徹見을得ᄒᆞᆯ지라
[col 14] 그리ᄒᆞ야此를爲ᄒᆞ는法、心力을凝集ᄒᆞ야
[col 15] 此大精神을觀念ᄒᆞ다ᄒᆞ면默念으로實로
[col 16] 神人合一、大性徹見에欠긔不能ᄒᆞᆫ法門
[col 17] 이라ᄒᆞᆯ지로다
