# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_19_p10u.txt

[title] 敎門訂議
[col 02] 의發現을見ㅎ지라說ㅎ도「헤게루」가萬
[col 03] 法을一如라ㅎ고宇宙로唯一大理想의發
[col 04] 現에不外ㅎ다ㅎ야靜觀主義를取ㅎ엿스며
[col 05] 쇠편氏의이른바「汝의意思를絕滅ㅎ고否
[col 06] 定ㅎ여라此汝의義務이라」絶叫ㅎ야欲
[col 07] 을絕ㅎ고情을滅ㅎ야解脫의道에入ㅎ을만
[col 08] ㅎ다ㅇㅇ示ㅎ야其方法으로利己的差別本
[col 09] 性을脫ㅎ야慈眼視衆生의平等大悲의上
[col 10] 에立ㅎ라說明ㅎ과如ㅎ은其說을바各
[col 11] 々不同ㅎ야蘭菊이各其美를覽ㅎ고觀ㅎ이
[col 12] 有ㅎ나大體는相對差別의我에被制치아
[col 13] 니ㅎ고絕對不等의本體에合ㅎ라說ㅎ음은其
[col 14] 歸趣가同一ㅎ도다
[col 15] 特히近世倫理家泰斗「무린」에至ㅎ야는
[col 16] 宇宙에는自意識을具ㅎ人大精神이有ㅎ다ㅎ
[col 17] 고吾人의意識은此宇宙大意識의顯出흐
[col 18] 고
