# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_2_p1l.txt

[section_running] 夜雷
[col 02] 의結果及維持를是로써或人格的活物의力에歸케ᄒᆞ엿ᄂᆞ니是ᅵ亦自然의
[col 03] 勢力이라且野蠻未開의人民은其生存幸福은全히自然
[col 04] 의勢力에依賴ᄒᆞ엿ᄂᆞ니
[col 05] 等의自然力은各各人格的活物로思惟케되며且人類의
[col 06] 模型에由ᄒᆞ야其形體를想像ᄒᆞᆷ에到ᄒᆞᆷ도足히怪치아니ᄒᆞ
[col 07] 도다是에셔是等의活物은其知慮情等에셔여러人
[col 08] 類와갓치오직其力의偉大ᄒᆞᆯ差가有ᄒᆞᆯᄲᅳᆫ으로思惟될지
[col 09] 라是와自然力의數ᄂᆞᆫ甚히多ᄒᆞ엿ᄂᆞ니故로最初의宗敎
[col 10] ᄂᆞᆫ多神敎이엿도다是的原始의宗敎ᄂᆞᆫ通常自然敎라稱ᄒᆞᄂᆞ니其의神々은
[col 11] 人類에在ᄒᆞ야只强力ᄒᆞ活物뿐人類의禍福은全히是活
[col 12] 物의好惡의上에繫ᄒᆞ엿더니라然ᄒᆞ면人類의禍福은全히是ᄂᆞᆫ活物의神々의慈悲를
[col 13] ᄂᆞ니其禍福도쏘ᄒᆞ隨ᄒᆞ야同樣의性質을帶來ᄒᆞᄂᆞ니라即獲코저ᄒᆞ면贈物歎願服從卑下에依ᄒᆞ야外ᅵ無ᄒᆞ
