# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_7_p4u.txt

[title] 敎門訂議
[col 02] 般의進步를示ᄒᆞ니라
[col 03] 是에셔神은純然ᄒᆞᆫ精神本體로思唯되엿스며全能ᄒᆞᆫ
[col 04] 天地의造物主遍在ᄒᆞᆫ世界의司配者가되엿더라然이化
[col 05] 個의哲學的槪念은一般人民에는너무도過程度된一
[col 06] 나라그러셔玆에比較的卑近ᄒᆞ고人間에親密ᄒᆞᆫ幾
[col 07] 多의從神父눈天使을創造ᄒᆞ야人과神과의媒介者가되
[col 08] 게ᄒᆞ엿ᄂᆞ니是ᅳ如何ᄒᆞᆫ宗敎에든지見ᄒᆞᆫ바ᅵ是盖
[col 09] 多敎의人民은偕허自然敎에接近ᄒᆞ며其道德上에在
[col 10] ᄒᆞ과如ᄒᆞ도犧牲祈禮等에依ᄒᆞ야證得ᄒᆞ리라思唯됨오
[col 11] 도써니라
[col 12] 故로ᅳ切의宗敎ᄂᆞᆫ時로形式的及外面的方面으로墮
[col 13] 落케됨을不免ᄒᆞᄂᆞ니其驛ᅵ甚ᄒᆞ어及ᄒᆞ야卓識ᄒᆞ고
[col 14] 神秘ᄒᆞ고且熱誠的感情에富ᄒᆞᆫ者ᅵ玆에一新宗敎를開拓ᄒᆞᆷ
[col 15] 에至ᄒᆞᄂᆞ니佛敎基督馬合默摩西等이是니라
[col 16] 然이나마일是等人人의唱ᄒᆞᆫ宗敎을從來의宗敎와
[col 17] 全然相異ᄒᆞᆫ者따思ᄒᆞᆷ은是ᅳ大ᄒᆞᆫ誤見이라是等改革
[col 18] 宗祖되ᄂᆞᆫ者ᄂᆞᆫ오직從來宗敎의外形及其多神敎的分子
[col 19] 에反抗ᄒᆞ야是의旒式를排斥ᄒᆞ고其本來面目을發揮ᄒᆞᆷ
