# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_7_p4u.txt

[title] 數門訂議
[col 02] 般의進步를示ᄒᆞ니라
[col 03] 是에서神은純然豆精神本體로思唯되엿스며全能豆
[col 04] 天地의造物主遍在豆世界의司配者가되엿거라然이
[col 05] 나是와如히一切의感覺的觀念으로붓터抽象된一
[col 06] 個의哲學的槪念은一般人民에너무도過程度가되
[col 07] 니라그리셔玆에比較的卑近ᄒᆞ고人間에親密豆幾
[col 08] 多의從神父는天使를創造ᄒᆞ야八神과神의媒介者가되
[col 09] 게ᄒᆞ엿나니是ㅣ如何ᄒᆞᆫ宗敎에서든지見ᄒᆞ는바아是益
[col 10] 多數의人民은尙히自然敎에接近ᄒᆞ며其道德上에在
[col 11] 喜好如惡도犧牲祈禱等에依ᄒᆞ야塗得ᄒᆞ리라思唯됨이오
[col 12] 로써니라
[col 13] 故로一切의宗敎時로形式的及外面的方面으로墮
[col 14] 落됨을不免ᄒᆞ노니其弊ㅣ甚ᄒᆞ여及今야卓識을有고
[col 15] 神秘的且熱誠的感情에富ᄒᆞᆫ者ㅣ玆에一新宗敎를開拓宮
[col 16] 에至ᄒᆞ노니佛敎基督馬合獸摩西等이是니라
[col 17] 然이나마일是等人人의唱道宗敎와從來의宗敎와
[col 18] 全然相異ᄒᆞᆫ者라思ᄒᆞᆷ은是一大의謬見이라是等改革
[col 19] 宗祖된者오직從來宗敎의外形及其多神敎的分子
[col 20] 에反抗ᄒᆞ야是의虛式을排斥ᄒᆞ고其本來面目을發揮豆
