# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_7_p4u.txt

[title] 放禪都
[col 02] 魔正悟人의魔은更히一段을進ᄒᆞ야大死一番、絶後에再
[col 03] 蘇、靜을執ᄒᆞ고動을忘ᄒᆞ며空에着ᄒᆞ야右를顧ᄒᆞ는等事
[col 04] ㅣ업시動靜의境에自在을得ᄒᆞ며右空의二에不偏ᄒᆞ
[col 05] 고明鏡의體ㅣ空寂ᄒᆞ야能히萬象의影을寫홈과如히ᄒᆞ야
[col 06] 能히萬象의影이寫될지라도其의뒤에머러汚洲되지아니홈
[col 07] 과갓도다만일其空寂을愛ᄒᆞ야妄想을徒勝코자ᄒᆞ므로써起ᄒᆞ야
[col 08] 活動을活社會에試키不能ᄒᆞ고져는此土偶木人과然이오ᄯᅩ
[col 09] 는冥想中狀態로至一度ㅣ此空寂의境에入ᄒᆞ고져ᄒᆞ는者도名
[col 10] 數實驗家의證明ᄒᆞ는바로다
[col 11] 冥想과生理
[col 12] 心身相關의點은旣述ᄒᆞ엿도다然ᄒᆞᆫ즉冥想中에서吾人이此空
[col 13] 寂의境에接ᄒᆞ엿는즉吾人의何等의生理的作用이無치아니홈지
[col 14] 라某生理學者는此에對ᄒᆞ야曰時間은變化ᄒᆞ는것이라變化가업스면時間이업는것
[col 15] 이라或은惡夢은運動을보는것이라運動이업스면感覺도
[col 16] 업는지라手足運動이업서면空間接觸이업서면手足의
