# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_11_p6u.txt

[section] 講演
[col 02] ᄒᆞᄂᆞᆫ者ㅣ一時로閑散靜養을要ᄒᆞᆷ을坐ᄒᆞ不得己인ᄃᆡ
[col 03] 閑散靜養은心으로카케ᄒᆞ며心의和平은是ㅣ健康에
[col 04] 次ᄒᆞ幸福의要義니라心이平ᄒᆞ면心이大ᄒᆞ며心이
[col 05] 大ᄒᆞ은是眞正幸福의狀態니是에서쳐음으로特立不羈의
[col 06] 精神을見ᄒᆞᄂᆞ도다俗交ᄂᆞᆫ通常險惡陰謀로ᄡᅥ精神의
[col 07] 特立不羈를敗壞ᄒᆞᄂᆞ니라
[col 08] 特立의精神을有ᄒᆞ야自己一身으로ᄡᅥ滿足을表ᄒᆞᄂᆞᆫ者
[col 09] ᄂᆞᆫ外物이能히其의內心에犯치못ᄒᆞᄂᆞ니라
[col 10] 如斯히明察ᄒᆞ면社會俗交의門에서幸福을求ᄒᆞ며
[col 11] 奔徐放遊의處에셔快樂을索ᄒᆞᆷ은實로幸福의顚倒라云
[col 12] ᄒᆞ지니社會에立ᄒᆞ야依賴心이無ᄒᆞ며人生에處ᄒᆞ
[col 13] 야外能非因이업시自立自重ᄒᆞ야富貴에不能驕ᄒᆞ며
[col 14] 貧賤에不能移ᄒᆞ고天空海濶의智量이有ᄒᆞᆷ은是處世
[col 15] 秘訣인ᄃᆡ
[col 16] (未完)
