# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_1_p1u.txt

[title] 處世神言
[section] 講
[section] 甲、自己에關ᄒᆞᆫ處世覺悟
[col 04] 其一
[col 05] 勞働者가一建築事業에加ᄒᆞ야此를佐ᄒᆞᆷ에旦夕揭
[col 06] 勉不怠ᄒᆞᆯ지라도敢히其全體의企圖計劃에至ᄒᆞ
[col 07] 此를與치못ᄒᆞᆷ과갓치吾人이人世에處ᄒᆞ야日을送ᄒᆞ
[col 08] 月을迎ᄒᆞᆷ에孜孜營營ᄒᆞ나人世全圖計劃에對ᄒᆞ야ᄂᆞᆫ
[col 09] 毫末도頓着ᄒᆞᆷ이업ᄒᆞ과如ᄒᆞ도다蓋建築의責任을有ᄒᆞᆫ
[col 10] 者ᄂᆞᆫ먼저全型의圖案을有ᄒᆞᆷ과如히吾人이眞正[?]
[col 11] 의責任으로써人世에處코저ᄒᆞ면먼저一生의縮少[?]
[col 12] 按圖를要ᄒᆞᆯ만ᄒᆞ自覺으로써進行ᄒᆞᆯ者니라本來人生[?]
[col 13] 의本義라ᄒᆞᆷ은何이냐各々自己職業은云何境遇[?]
[col 14] 何是等의末本終始의修理에關치아니ᄒᆞᆷ이不可ᄒᆞ니[?]
[col 15] 만일其本末始終을明히ᄒᆞ야써生生育育의道에從ᄒᆞ[?]
