# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p2u.txt

[section_running] 演說
[col 02] 個個部分에遺無ᄒᆞᆷ흘透顯ᄒᆞᄂᆞ니라그리ᄒᆞ야擧周이든
[col 03] 지實業이든지神聖ᄒᆞᆫ實獻事業은其結果로브터見
[col 04] ᄒᆞ면恰然히神助天祐와如ᄒᆞ고此에反ᄒᆞ야惡行失的의
[col 05] 類ᄂᆞᆫ此를回顧ᄒᆞ면迷霧邪路에就ᄒᆞᆷ과如ᄒᆞ야秩序가無
[col 06] ᄒᆞᄂᆞ니엇지注意치아니ᄒᆞ랴
[title] 其二
[col 08] 吾人이此世에處ᄒᆞᆷ에現在觀과未來觀의關係를明晣처못
[col 09] ᄒᆞ면現在와未來의相須의發를不免ᄒᆞᄂᆞ니라人의多數
[col 10] ᄂᆞᆫ現在를過重히ᄒᆞᄂᆞ니此ᄂᆞᆫ輕薄者라謂ᄒᆞᆯ지며又人의
[col 11] 多數ᄂᆞᆫ未來를過重히ᄒᆞᄂᆞ니此ᄂᆞᆫ把愛者라謂ᄒᆞᆯ지라
[col 12] 人生으로此에偏倚치아니ᄒᆞᄂᆞᆫ者ㅣ大槪無ᄒᆞᄂᆞ다
[col 13] 다못未來에만向ᄒᆞ야希望을抱ᄒᆞ며오직將來에만對
[col 14] ᄒᆞ야幸福을祈ᄒᆞ고現在直下의幸福은忘却ᄒᆞᄂᆞᆫ者
[col 15] ᄂᆞᆫ彼伊太利驢에比ᄒᆞᆯ지로다伊太利에셔驢馬를使役
[col 16] ᄒᆞᆷ에杖을如上에斜付ᄒᆞ고其杖의端에一束의枯草
[col 17] 를結下ᄒᆞ야驢馬眼前에懸垂ᄒᆞᆷ이如ᄒᆞᄂᆞ니魯馬ᄂᆞᆫ此
[col 18] 를得코저ᄒᆞ야胴下의危險蹄足의疲怠도此를不顧
[col 19] ᄒᆞ고賭命喘喘焉히疾走ᄒᆞᄂᆞ니是驢馬의督勵法이라
[col 20] 直前脚下의現在ᄅᆞᆯ忘却ᄒᆞ고未來空想의希望에만
[col 21] 應ᄒᆞᄂᆞᆫ者ᄂᆞᆫ大槪杖如枯草에欺罔된驢馬의類ᄂᆞᆫ
