# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_7_p4u.txt

[section_running] 講演
[col 02] 必要를減ᄒᆞ며飮食奢侈에耽ᄒᆞ며賭博放逸에流ᄒᆞᄂᆞ
[col 03] 弊를生ᄒᆞᄂᆞ니古言에安閑은平和를不與ᄒᆞ다云ᄒᆞᆷ은이
[col 04] 個의敎訓이니身心이閒暇ᄒᆞᆯ時ᄂᆞᆫ誘惑魔降의禍災를惹起
[col 05] 키易ᄒᆞ니라
[col 06] 故로倦困退屈에不陷ᄒᆞ範圍에서自己의能力이適應
[col 07] ᄒᆞ活動範圍事에立ᄒᆞ야出處進退를宜히ᄒᆞ면人生의幸福
[col 08] 이皆ㅣ其間에存ᄒᆞ者ㅣ니然ᄒᆞ면古來詩人이眞心의幸
[col 09] 福을樸實ᄒᆞᆷ에常히活動範圍의狹隘ᄒᆞ者를捕來ᄒᆞ야詩料
[col 10] 를삼음도쓰其故가有ᄒᆞ더
[col 11] 　　其四
[col 12] 吾人의幸과不幸이라ᄒᆞᆷ은畢竟컨디意識活動의方
[col 13] 面에一大關係가有ᄒᆞ者라ᄒᆞᆯ지라大槪學問의方面에從事
[col 14] ᄒᆞᄂᆞᆫ俗律的業務에奔走ᄒᆞᆷ에化ᄒᆞ야眞正의幸福을
[col 15] 懸了ᄒᆞᆷ에利便ᄒᆞᄂᆞ니成功失敗에繁劇ᄒᆞᆫ外的俗事ᄂᆞᆫ內
[col 16] 的精神의平和를破壞ᄒᆞᆷ은自然의勢이니라此에反ᄒᆞ
[col 17] 야又一方에서ᄂᆞᆫ專히學問의方面에偏倚ᄒᆞ者ᄂᆞᆫ世事
[col 18] 에踈ᄒᆞ며實際에違ᄒᆞ傾向이有ᄒᆞᄂᆞ니然ᄒᆞ면臨機其
[col 19] 宜를應치아니ᄒᆞᆷ이不可ᄒᆞ도다
[col 20] 自覺的生活을爲ᄒᆞ며自己의經驗으로브러敎訓을得
