# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_2_p1l.txt

[title] 演
[author] 白頭山人
[col 03] 其活動은曖昧ᄒᆞ고其智中은闊闊ᄒᆞ니是에서처음으
[col 04] 로邪路에不走ᄒᆞ고正道에雍容ᄒᆞᆷ을可得ᄒᆞ리로다
[col 05] 旅行者가엇든高에達ᄒᆞ야처음으로迂餘曲婉ᄒᆞᆫ
[col 06] 過程을回顧瞥見ᄒᆞ고파치지吾人人生의行路도亦然ᄒᆞ야
[col 07] 엇던期間의終點에着ᄒᆞ야처음으로其經歷事業의關
[col 08] 係功績을辨識通覽ᄒᆞ노니經歷事業의中途에在ᄒᆞ야는
[col 09] 다못此가一大目的의手段으로現時瞬間의必要條件의
[col 10] 에服從被駛ᄒᆞᆯ뿐外一餘念이無ᄒᆞ엿더니라그리ᄒᆞ야一事
[col 11] 一一定의期間을經過ᄒᆞᆫ後一回顧ᄒᆞ면巧妙手段方法이穩
[col 12] 健正當ᄒᆞᆷ을知覺ᄒᆞ고스스로自慰自稱ᄒᆞᆷ에足ᄒᆞ니然ᄒᆞ면
[col 13] 畢生의大業에從事ᄒᆞ는者ㅣ常히다못其의行爲가合理
[col 14] 的의됨을見ᄒᆞᆯ뿐으로全局을通觀할事ㅣ到底不能ᄒᆞ나
[col 15] 然이나其終局에서처음으로全体의關係性質을發揚ᄒᆞ야
[col 16] 槪括的으로判斷ᄒᆞ고
[col 17] 其價値를定ᄒᆞ야
[col 18] 其功過를送迎ᄒᆞ고
[col 19] 其是非를送迎ᄒᆞ고
[col 20] 其成敗를有ᄒᆞ고
[col 21] 其眞面目에對ᄒᆞ야
[col 22] 縮小圖를生ᄒᆞ야幸福
[col 23] 과不遇를云ᄒᆞ니라
[col 24] 槪括的判斷
