# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_2_p1l.txt

[title] 夜雷
[col 02] 無타斷案言은愚痴의見이며且偏僻의知라故로吾人은此
[col 03] 等偏見僻知를避ᄒᆞ야明徃驀直히眞理의本家를踏破言이
[col 04] 吾人의天職으로認ᄒᆞ는바이나然이나無境界와理知를延
[col 05] 長ᄒᆞ야神聖ᄒᆞᆫ眞理를畢境ᅵ雲淵龜月의迷信을生케言은
[col 06] 發達進化ᄒᆞᆫ今日吾人의思想으로容認ᄒᆞᆯ바이리오
[col 07] 吾人은今日에坐ᄒᆞ야默히潸然ᄒᆞᆫ過去를回想ᄒᆞᆯ時에東西
[col 08] 萬里의精神과許遠의長山大谷을屈曲伸張ᄒᆞ며蜿蜒嶙峋ᄒᆞ야
[col 09] 洋巨海와許遠의波濤와上下千載의思想的峰巒이幾多의大
[col 10] 終에優美華麗ᄒᆞᆫ今日의佳麗地를成ᄒᆞᆫ所以는誰가其淵源
[col 11] 의深奧와根脈의堅礴을忽諸ᄒᆞᆯ바리오
[col 12] 然이나吾人이港頭에立ᄒᆞ야滄溟의極際를望ᄒᆞᆯ時와平野
[col 13] 에坐ᄒᆞ야雪線의絕頂을仰ᄒᆞᆯ時에無定着의閒雲이水面
[col 14] 徘徊ᄒᆞ며無根底의漫霞가峰頭에査靄ᄒᆞᆷ을見ᄒᆞ고空然히
[col 15] 蓬萊萬丈의別境을虛想ᄒᆞᆷ은何故이나是로써人心一部에
[col 16] 는架空의妄想이固有ᄒᆞᆷ은可證ᄒᆞᆯ바로다
[col 17] 蓋人心의空想이有ᄒᆞᆫ바로써吾人은即히人心을指ᄒᆞ야虛
