# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p2u.txt

[section] 敎理部
[col 02] 妄이라認치勿ᄒᆞᆯ지이다人生은此空想이有ᄒᆞᆷ으로써能히
[col 03] 活動ᄒᆞ야眞正ᄒᆞᆫ理想에達코져ᄒᆞᄂᆞ니換言ᄒᆞ면空想은將次正
[col 04] 想에達코져ᄒᆞᄂᆞᆫ思考의餘蘊에不過ᄒᆞ니火山에活火가有
[col 05] 코져ᄒᆞ면먼져噴烟이有ᄒᆞᆷ과如히過去千載之億兆의空想
[col 06] 은수日의吾人으로써眞理의活火를吐코져ᄒᆞᄂᆞᆫ噴烟에不
[col 07] 過ᄒᆞᆫ者인져
[col 08] 玆에過渡時代의宗敎가人心一部의弱點되ᄂᆞᆫ此空想을利
[col 09] 用ᄒᆞ야許多의假設幾多의比類로宗敎的迷信을構成ᄒᆞᆫ所
[col 10] 以ᄂᆞᆫ避키難ᄒᆞᆫ時代的精神인더虛誕ᄒᆞᆫ神話ᄂᆞᆫ敎說의眞髓
[col 11] 가되며漠然ᄒᆞᆫ寓言은敎理의骨精이되엿도다
[col 12] 抑宗敎도時代的產物이된以上은或時代에在ᄒᆞ宗敎가迷
[col 13] 信으로써其時代를支配ᄒᆞᆷ은亦不得已ᄒᆞ產物이되지아니
[col 14] 치못ᄒᆞᆯ시며그리ᄒᆞ야其敎祖의時代的明見이如何히圓滿
[col 15] ᄒᆞᆷ을吾人은常히感服치아니치못ᄒᆞᆯ지로다
[col 16] 然이나時代的流波가陷々不息ᄒᆞ야旣히迷信의離을過ᄒᆞ
[col 17] 야眞理의大海에入ᄒᆞᄂᆞᆫ今日에吾人은毛頭의假想을不借
[col 18] ᄒᆞ며毫末의虛信을不許ᄒᆞ고亦裸々ᄒᆞᆫ眞理實想으로써思
[col 19] 想的本務를삼게되엿도다그리ᄒᆞ야其思想으로發ᄒᆞᆫ宗敎
[col 20] 라야솜으로進化될敎說이有ᄒᆞ며揖募될만ᄒᆞᆫ道德이包
[col 21] 容되엿슬지며從ᄒᆞ야其敎化와其道德은純粹自力의이며
