# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_1_p1u.txt

[title] 動物園訪問
[author] 讀者
[col 03] 오랫동안動物園여러분의게隔阻가되야大段궁々ᄒᆞ드
[col 04] 이다오늘온便幸ㅣ忙中의仙緣을엇더ㅣ이들을訪問
[col 05] 되엿다
[col 06] 海月靜師ㅣ말삼ᄒᆞ사되獅々이다ᄒᆞᆫ울음이며일々이
[col 07] 울음이다ᄒᆞ셧스니이點이로生覺ᄒᆞ면다만사람의
[col 08] 울음뿐아니라이動物園안에잇는제各種各色의動
[col 09] 도갓치울음인것이다아ㅡ울음이란異常ᄒᆞᆫ것이다
[col 10] 순간影像이로드는지될슈만잇스면될슈잇는데로表顯
[col 11] 것이이곳울음의眞能力이겟다울슈잇는데못울때
[col 12] ᄒᆞᆫ것이아니오萬物은곳울음의表顯의모양미適當ᄒᆞ
[col 13] 致다울음은아무것이로드든지表顯ᄒᆞ고아무것이로드
[col 14] 든지生ᄒᆞ겟다孔雀이갓치美麗ᄒᆞᆫ鳥類도되엿스며獅
[col 15] 와갓치醜惡ᄒᆞᆫ動物도되엿스며麒麟麋鹿과갓치溫純ᄒᆞᆫ動物도되엿
[col 16] 으며또되엿스며獅子虎狼이와갓치
[col 17] 惡도되엿스며農鳥와鹿과갓치愚鈍ᄒᆞᆫ動物도되엿
[col 18] 그리고제뷔이만치제性格이만치제性質과
